types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Upanayana,sacred thread,339,112,1.0,0.0,3,24,== Musical style and performance == | === Films ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Upanayana,sacred thread,339,112,1.0,0.0,3,24,== Musical style and performance == | === Films ===
http://dbpedia.org/class/yago/WikicatObjectsUsedInHinduWorship,http://dbpedia.org/resource/Upanayana,sacred thread,339,112,1.0,0.0,3,24,== Musical style and performance == | === Films ===
