types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Deceptive_Records,Deceptive Records,26,20,0.999999999990905,0.0,2,6,== Career == | === Music ===
http://dbpedia.org/class/yago/WikicatAlternativeRockRecordLabels,http://dbpedia.org/resource/Deceptive_Records,Deceptive Records,26,20,0.999999999990905,0.0,2,6,== Career == | === Music ===
http://dbpedia.org/class/yago/WikicatIndependentRecordLabels,http://dbpedia.org/resource/Deceptive_Records,Deceptive Records,26,20,0.999999999990905,0.0,2,6,== Career == | === Music ===
http://dbpedia.org/ontology/RecordLabel,http://dbpedia.org/resource/Deceptive_Records,Deceptive Records,26,20,0.999999999990905,0.0,2,6,== Career == | === Music ===
http://dbpedia.org/class/yago/WikicatBritishRecordLabels,http://dbpedia.org/resource/Deceptive_Records,Deceptive Records,26,20,0.999999999990905,0.0,2,6,== Career == | === Music ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Deceptive_Records,Deceptive Records,26,20,0.999999999990905,0.0,2,6,== Career == | === Music ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Deceptive_Records,Deceptive Records,26,20,0.999999999990905,0.0,2,6,== Career == | === Music ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Deceptive_Records,Deceptive Records,26,20,0.999999999990905,0.0,2,6,== Career == | === Music ===
http://dbpedia.org/class/yago/WikicatRecordLabelsDisestablishedIn2001,http://dbpedia.org/resource/Deceptive_Records,Deceptive Records,26,20,0.999999999990905,0.0,2,6,== Career == | === Music ===
http://dbpedia.org/class/yago/WikicatRecordLabelsEstablishedIn1992,http://dbpedia.org/resource/Deceptive_Records,Deceptive Records,26,20,0.999999999990905,0.0,2,6,== Career == | === Music ===
http://dbpedia.org/class/yago/WikicatRockRecordLabels,http://dbpedia.org/resource/Deceptive_Records,Deceptive Records,26,20,0.999999999990905,0.0,2,6,== Career == | === Music ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Deceptive_Records,Deceptive Records,26,20,0.999999999990905,0.0,2,6,== Career == | === Music ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/Deceptive_Records,Deceptive Records,26,20,0.999999999990905,0.0,2,6,== Career == | === Music ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Deceptive_Records,Deceptive Records,26,20,0.999999999990905,0.0,2,6,== Career == | === Music ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Deceptive_Records,Deceptive Records,26,20,0.999999999990905,0.0,2,6,== Career == | === Music ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Deceptive_Records,Deceptive Records,26,20,0.999999999990905,0.0,2,6,== Career == | === Music ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Deceptive_Records,Deceptive Records,26,20,0.999999999990905,0.0,2,6,== Career == | === Music ===
http://dbpedia.org/class/yago/WikicatArchitectureAwards,http://dbpedia.org/resource/Stirling_Prize,Stirling Prize,383,72,1.0,0.0,1,10,== Career == | === Television ===
http://dbpedia.org/class/yago/WikicatAwardsEstablishedIn1996,http://dbpedia.org/resource/Stirling_Prize,Stirling Prize,383,72,1.0,0.0,1,10,== Career == | === Television ===
http://dbpedia.org/ontology/Award,http://dbpedia.org/resource/Stirling_Prize,Stirling Prize,383,72,1.0,0.0,1,10,== Career == | === Television ===
http://dbpedia.org/class/yago/WikicatBritishAwards,http://dbpedia.org/resource/Stirling_Prize,Stirling Prize,383,72,1.0,0.0,1,10,== Career == | === Television ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Stirling_Prize,Stirling Prize,383,72,1.0,0.0,1,10,== Career == | === Television ===
http://dbpedia.org/class/yago/Award106696483,http://dbpedia.org/resource/Stirling_Prize,Stirling Prize,383,72,1.0,0.0,1,10,== Career == | === Television ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Stirling_Prize,Stirling Prize,383,72,1.0,0.0,1,10,== Career == | === Television ===
http://dbpedia.org/class/yago/Signal106791372,http://dbpedia.org/resource/Stirling_Prize,Stirling Prize,383,72,1.0,0.0,1,10,== Career == | === Television ===
http://dbpedia.org/class/yago/Symbol106806469,http://dbpedia.org/resource/Stirling_Prize,Stirling Prize,383,72,1.0,0.0,1,10,== Career == | === Television ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Marmite,Marmite,242,46,0.9999999919670302,7.482777341119279e-09,1,12,== Career == | === Art ===
