types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatCasinos,http://dbpedia.org/resource/Native_American_gaming,Native American casino,353,96,1.0,0.0,2,11,== Character == | === Personality ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Native_American_gaming,Native American casino,353,96,1.0,0.0,2,11,== Character == | === Personality ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Native_American_gaming,Native American casino,353,96,1.0,0.0,2,11,== Character == | === Personality ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Native_American_gaming,Native American casino,353,96,1.0,0.0,2,11,== Character == | === Personality ===
http://dbpedia.org/class/yago/Building102913152,http://dbpedia.org/resource/Native_American_gaming,Native American casino,353,96,1.0,0.0,2,11,== Character == | === Personality ===
http://dbpedia.org/class/yago/Casino102977936,http://dbpedia.org/resource/Native_American_gaming,Native American casino,353,96,1.0,0.0,2,11,== Character == | === Personality ===
http://dbpedia.org/class/yago/Establishment103297735,http://dbpedia.org/resource/Native_American_gaming,Native American casino,353,96,1.0,0.0,2,11,== Character == | === Personality ===
http://dbpedia.org/class/yago/GamblingHouse103413428,http://dbpedia.org/resource/Native_American_gaming,Native American casino,353,96,1.0,0.0,2,11,== Character == | === Personality ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Native_American_gaming,Native American casino,353,96,1.0,0.0,2,11,== Character == | === Personality ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Native_American_gaming,Native American casino,353,96,1.0,0.0,2,11,== Character == | === Personality ===
http://dbpedia.org/class/yago/PlaceOfBusiness103953020,http://dbpedia.org/resource/Native_American_gaming,Native American casino,353,96,1.0,0.0,2,11,== Character == | === Personality ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Native_American_gaming,Native American casino,353,96,1.0,0.0,2,11,== Character == | === Personality ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Native_American_gaming,Native American casino,353,96,1.0,0.0,2,11,== Character == | === Personality ===
http://dbpedia.org/class/yago/WikicatNativeAmericanCasinos,http://dbpedia.org/resource/Native_American_gaming,Native American casino,353,96,1.0,0.0,2,11,== Character == | === Personality ===
