types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAnnualEventsInFrance,http://dbpedia.org/resource/Nuit_Blanche,Nuit blanche,148,5,0.9999999849377303,1.5062268163931212e-08,0,13,== Discography == | === With Sixun ===
http://dbpedia.org/class/yago/WikicatArtsFestivals,http://dbpedia.org/resource/Nuit_Blanche,Nuit blanche,148,5,0.9999999849377303,1.5062268163931212e-08,0,13,== Discography == | === With Sixun ===
http://dbpedia.org/class/yago/WikicatHabits,http://dbpedia.org/resource/Nuit_Blanche,Nuit blanche,148,5,0.9999999849377303,1.5062268163931212e-08,0,13,== Discography == | === With Sixun ===
http://dbpedia.org/class/yago/WikicatCulturalEvents,http://dbpedia.org/resource/Nuit_Blanche,Nuit blanche,148,5,0.9999999849377303,1.5062268163931212e-08,0,13,== Discography == | === With Sixun ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Nuit_Blanche,Nuit blanche,148,5,0.9999999849377303,1.5062268163931212e-08,0,13,== Discography == | === With Sixun ===
http://dbpedia.org/class/yago/WikicatRecurringEventsEstablishedIn2002,http://dbpedia.org/resource/Nuit_Blanche,Nuit blanche,148,5,0.9999999849377303,1.5062268163931212e-08,0,13,== Discography == | === With Sixun ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Nuit_Blanche,Nuit blanche,148,5,0.9999999849377303,1.5062268163931212e-08,0,13,== Discography == | === With Sixun ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Nuit_Blanche,Nuit blanche,148,5,0.9999999849377303,1.5062268163931212e-08,0,13,== Discography == | === With Sixun ===
http://dbpedia.org/class/yago/Custom105667404,http://dbpedia.org/resource/Nuit_Blanche,Nuit blanche,148,5,0.9999999849377303,1.5062268163931212e-08,0,13,== Discography == | === With Sixun ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Nuit_Blanche,Nuit blanche,148,5,0.9999999849377303,1.5062268163931212e-08,0,13,== Discography == | === With Sixun ===
http://dbpedia.org/class/yago/Festival115162388,http://dbpedia.org/resource/Nuit_Blanche,Nuit blanche,148,5,0.9999999849377303,1.5062268163931212e-08,0,13,== Discography == | === With Sixun ===
http://dbpedia.org/class/yago/FundamentalQuantity113575869,http://dbpedia.org/resource/Nuit_Blanche,Nuit blanche,148,5,0.9999999849377303,1.5062268163931212e-08,0,13,== Discography == | === With Sixun ===
http://dbpedia.org/class/yago/Habit105669034,http://dbpedia.org/resource/Nuit_Blanche,Nuit blanche,148,5,0.9999999849377303,1.5062268163931212e-08,0,13,== Discography == | === With Sixun ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Nuit_Blanche,Nuit blanche,148,5,0.9999999849377303,1.5062268163931212e-08,0,13,== Discography == | === With Sixun ===
http://dbpedia.org/class/yago/Practice105667196,http://dbpedia.org/resource/Nuit_Blanche,Nuit blanche,148,5,0.9999999849377303,1.5062268163931212e-08,0,13,== Discography == | === With Sixun ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Nuit_Blanche,Nuit blanche,148,5,0.9999999849377303,1.5062268163931212e-08,0,13,== Discography == | === With Sixun ===
http://dbpedia.org/class/yago/TimePeriod115113229,http://dbpedia.org/resource/Nuit_Blanche,Nuit blanche,148,5,0.9999999849377303,1.5062268163931212e-08,0,13,== Discography == | === With Sixun ===
http://dbpedia.org/class/yago/WikicatFestivals,http://dbpedia.org/resource/Nuit_Blanche,Nuit blanche,148,5,0.9999999849377303,1.5062268163931212e-08,0,13,== Discography == | === With Sixun ===
