types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Book,http://dbpedia.org/resource/Payment_Deferred,Payment Deferred,16,6,0.9999999999998296,1.4395111313758845e-13,0,45,== Theatre == | === Actor ===
http://dbpedia.org/class/yago/WikicatCrimeNovels,http://dbpedia.org/resource/Payment_Deferred,Payment Deferred,16,6,0.9999999999998296,1.4395111313758845e-13,0,45,== Theatre == | === Actor ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Payment_Deferred,Payment Deferred,16,6,0.9999999999998296,1.4395111313758845e-13,0,45,== Theatre == | === Actor ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Payment_Deferred,Payment Deferred,16,6,0.9999999999998296,1.4395111313758845e-13,0,45,== Theatre == | === Actor ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Payment_Deferred,Payment Deferred,16,6,0.9999999999998296,1.4395111313758845e-13,0,45,== Theatre == | === Actor ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Payment_Deferred,Payment Deferred,16,6,0.9999999999998296,1.4395111313758845e-13,0,45,== Theatre == | === Actor ===
http://dbpedia.org/class/yago/Fiction106367107,http://dbpedia.org/resource/Payment_Deferred,Payment Deferred,16,6,0.9999999999998296,1.4395111313758845e-13,0,45,== Theatre == | === Actor ===
http://dbpedia.org/class/yago/LiteraryComposition106364329,http://dbpedia.org/resource/Payment_Deferred,Payment Deferred,16,6,0.9999999999998296,1.4395111313758845e-13,0,45,== Theatre == | === Actor ===
http://dbpedia.org/class/yago/Novel106367879,http://dbpedia.org/resource/Payment_Deferred,Payment Deferred,16,6,0.9999999999998296,1.4395111313758845e-13,0,45,== Theatre == | === Actor ===
http://dbpedia.org/class/yago/Wikicat1926Novels,http://dbpedia.org/resource/Payment_Deferred,Payment Deferred,16,6,0.9999999999998296,1.4395111313758845e-13,0,45,== Theatre == | === Actor ===
http://dbpedia.org/class/yago/WikicatNovelsByC.S.Forester,http://dbpedia.org/resource/Payment_Deferred,Payment Deferred,16,6,0.9999999999998296,1.4395111313758845e-13,0,45,== Theatre == | === Actor ===
