types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Cara_Mia,Cara mia,27,1,0.9999998148464356,1.85153483769566e-07,0,56,== Discographhy == | === Singles ===
http://dbpedia.org/ontology/Single,http://dbpedia.org/resource/Cara_Mia,Cara mia,27,1,0.9999998148464356,1.85153483769566e-07,0,56,== Discographhy == | === Singles ===
http://dbpedia.org/class/yago/WikicatUnitedArtistsRecordsSingles,http://dbpedia.org/resource/Cara_Mia,Cara mia,27,1,0.9999998148464356,1.85153483769566e-07,0,56,== Discographhy == | === Singles ===
http://dbpedia.org/class/yago/WikicatRPMTopSinglesNumber-oneSingles,http://dbpedia.org/resource/Cara_Mia,Cara mia,27,1,0.9999998148464356,1.85153483769566e-07,0,56,== Discographhy == | === Singles ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Cara_Mia,Cara mia,27,1,0.9999998148464356,1.85153483769566e-07,0,56,== Discographhy == | === Singles ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Cara_Mia,Cara mia,27,1,0.9999998148464356,1.85153483769566e-07,0,56,== Discographhy == | === Singles ===
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/Cara_Mia,Cara mia,27,1,0.9999998148464356,1.85153483769566e-07,0,56,== Discographhy == | === Singles ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Cara_Mia,Cara mia,27,1,0.9999998148464356,1.85153483769566e-07,0,56,== Discographhy == | === Singles ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Cara_Mia,Cara mia,27,1,0.9999998148464356,1.85153483769566e-07,0,56,== Discographhy == | === Singles ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Cara_Mia,Cara mia,27,1,0.9999998148464356,1.85153483769566e-07,0,56,== Discographhy == | === Singles ===
http://dbpedia.org/class/yago/Wikicat1954Singles,http://dbpedia.org/resource/Cara_Mia,Cara mia,27,1,0.9999998148464356,1.85153483769566e-07,0,56,== Discographhy == | === Singles ===
http://dbpedia.org/class/yago/Wikicat1965Singles,http://dbpedia.org/resource/Cara_Mia,Cara mia,27,1,0.9999998148464356,1.85153483769566e-07,0,56,== Discographhy == | === Singles ===
http://dbpedia.org/class/yago/WikicatUKSinglesChartNumber-oneSingles,http://dbpedia.org/resource/Cara_Mia,Cara mia,27,1,0.9999998148464356,1.85153483769566e-07,0,56,== Discographhy == | === Singles ===
