types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Melbourne_Jazz_Festival,Melbourne International Jazz Festival,36,73,1.0,0.0,5,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/JazzFestival100518039,http://dbpedia.org/resource/Melbourne_Jazz_Festival,Melbourne International Jazz Festival,36,73,1.0,0.0,5,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Melbourne_Jazz_Festival,Melbourne International Jazz Festival,36,73,1.0,0.0,5,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Melbourne_Jazz_Festival,Melbourne International Jazz Festival,36,73,1.0,0.0,5,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Melbourne_Jazz_Festival,Melbourne International Jazz Festival,36,73,1.0,0.0,5,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Melbourne_Jazz_Festival,Melbourne International Jazz Festival,36,73,1.0,0.0,5,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/Celebration100428000,http://dbpedia.org/resource/Melbourne_Jazz_Festival,Melbourne International Jazz Festival,36,73,1.0,0.0,5,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/Melbourne_Jazz_Festival,Melbourne International Jazz Festival,36,73,1.0,0.0,5,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Melbourne_Jazz_Festival,Melbourne International Jazz Festival,36,73,1.0,0.0,5,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/Festival100517728,http://dbpedia.org/resource/Melbourne_Jazz_Festival,Melbourne International Jazz Festival,36,73,1.0,0.0,5,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/Festival115162388,http://dbpedia.org/resource/Melbourne_Jazz_Festival,Melbourne International Jazz Festival,36,73,1.0,0.0,5,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/FundamentalQuantity113575869,http://dbpedia.org/resource/Melbourne_Jazz_Festival,Melbourne International Jazz Festival,36,73,1.0,0.0,5,11,== Biography == | === Career ===
http://umbel.org/umbel/rc/Festival,http://dbpedia.org/resource/Melbourne_Jazz_Festival,Melbourne International Jazz Festival,36,73,1.0,0.0,5,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatJazzFestivalsInAustralia,http://dbpedia.org/resource/Melbourne_Jazz_Festival,Melbourne International Jazz Festival,36,73,1.0,0.0,5,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/TimePeriod115113229,http://dbpedia.org/resource/Melbourne_Jazz_Festival,Melbourne International Jazz Festival,36,73,1.0,0.0,5,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Melbourne_Jazz_Festival,Melbourne International Jazz Festival,36,73,1.0,0.0,5,11,== Biography == | === Career ===
http://dbpedia.org/ontology/SocietalEvent,http://dbpedia.org/resource/Melbourne_Jazz_Festival,Melbourne International Jazz Festival,36,73,1.0,0.0,5,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatFestivalsInMelbourne,http://dbpedia.org/resource/Melbourne_Jazz_Festival,Melbourne International Jazz Festival,36,73,1.0,0.0,5,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Melbourne_Jazz_Festival,Melbourne International Jazz Festival,36,73,1.0,0.0,5,11,== Biography == | === Career ===
