types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Celibacy,Celibacy,1134,0,0.9999997091132824,0.0,1,96,== Character and relationships == | === Celibacy ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Celibacy,Celibacy,1134,0,0.9999997091132824,0.0,1,96,== Character and relationships == | === Celibacy ===
http://dbpedia.org/class/yago/CodeOfConduct105668095,http://dbpedia.org/resource/Celibacy,Celibacy,1134,0,0.9999997091132824,0.0,1,96,== Character and relationships == | === Celibacy ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Celibacy,Celibacy,1134,0,0.9999997091132824,0.0,1,96,== Character and relationships == | === Celibacy ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Celibacy,Celibacy,1134,0,0.9999997091132824,0.0,1,96,== Character and relationships == | === Celibacy ===
http://dbpedia.org/class/yago/Convention105667613,http://dbpedia.org/resource/Celibacy,Celibacy,1134,0,0.9999997091132824,0.0,1,96,== Character and relationships == | === Celibacy ===
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/resource/Celibacy,Celibacy,1134,0,0.9999997091132824,0.0,1,96,== Character and relationships == | === Celibacy ===
http://dbpedia.org/class/yago/WikicatCodesOfConduct,http://dbpedia.org/resource/Celibacy,Celibacy,1134,0,0.9999997091132824,0.0,1,96,== Character and relationships == | === Celibacy ===
http://dbpedia.org/class/yago/WikicatTraditions,http://dbpedia.org/resource/Celibacy,Celibacy,1134,0,0.9999997091132824,0.0,1,96,== Character and relationships == | === Celibacy ===
http://dbpedia.org/class/yago/Tradition105809745,http://dbpedia.org/resource/Celibacy,Celibacy,1134,0,0.9999997091132824,0.0,1,96,== Character and relationships == | === Celibacy ===
http://dbpedia.org/class/yago/Practice105667196,http://dbpedia.org/resource/Celibacy,Celibacy,1134,0,0.9999997091132824,0.0,1,96,== Character and relationships == | === Celibacy ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Celibacy,Celibacy,1134,0,0.9999997091132824,0.0,1,96,== Character and relationships == | === Celibacy ===
