types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Bibliophilia,bibliophile,501,30,1.0,0.0,0,40,== Career == | === Poetry ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Bibliophilia,bibliophile,501,30,1.0,0.0,0,40,== Career == | === Poetry ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Bibliophilia,bibliophile,501,30,1.0,0.0,0,40,== Career == | === Poetry ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Bibliophilia,bibliophile,501,30,1.0,0.0,0,40,== Career == | === Poetry ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Bibliophilia,bibliophile,501,30,1.0,0.0,0,40,== Career == | === Poetry ===
http://dbpedia.org/class/yago/Bibliophile109852679,http://dbpedia.org/resource/Bibliophilia,bibliophile,501,30,1.0,0.0,0,40,== Career == | === Poetry ===
http://dbpedia.org/class/yago/Bookseller109866473,http://dbpedia.org/resource/Bibliophilia,bibliophile,501,30,1.0,0.0,0,40,== Career == | === Poetry ===
http://dbpedia.org/class/yago/Businessman109882007,http://dbpedia.org/resource/Bibliophilia,bibliophile,501,30,1.0,0.0,0,40,== Career == | === Poetry ===
http://dbpedia.org/class/yago/Businessperson109882716,http://dbpedia.org/resource/Bibliophilia,bibliophile,501,30,1.0,0.0,0,40,== Career == | === Poetry ===
http://dbpedia.org/class/yago/Capitalist109609232,http://dbpedia.org/resource/Bibliophilia,bibliophile,501,30,1.0,0.0,0,40,== Career == | === Poetry ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Bibliophilia,bibliophile,501,30,1.0,0.0,0,40,== Career == | === Poetry ===
http://dbpedia.org/ontology/MusicalWork,http://dbpedia.org/resource/Bibliophilia,bibliophile,501,30,1.0,0.0,0,40,== Career == | === Poetry ===
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/Bibliophilia,bibliophile,501,30,1.0,0.0,0,40,== Career == | === Poetry ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Bibliophilia,bibliophile,501,30,1.0,0.0,0,40,== Career == | === Poetry ===
http://dbpedia.org/class/yago/Owner110388924,http://dbpedia.org/resource/Bibliophilia,bibliophile,501,30,1.0,0.0,0,40,== Career == | === Poetry ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Bibliophilia,bibliophile,501,30,1.0,0.0,0,40,== Career == | === Poetry ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Bibliophilia,bibliophile,501,30,1.0,0.0,0,40,== Career == | === Poetry ===
http://dbpedia.org/class/yago/WikicatAntiquarianBooksellers,http://dbpedia.org/resource/Bibliophilia,bibliophile,501,30,1.0,0.0,0,40,== Career == | === Poetry ===
http://dbpedia.org/class/yago/WikicatBibliophiles,http://dbpedia.org/resource/Bibliophilia,bibliophile,501,30,1.0,0.0,0,40,== Career == | === Poetry ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Bibliophilia,bibliophile,501,30,1.0,0.0,0,40,== Career == | === Poetry ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Bibliophilia,bibliophile,501,30,1.0,0.0,0,40,== Career == | === Poetry ===
