types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAmericanComics,http://dbpedia.org/resource/Tijuana_bible,Tijuana Bible,38,9,0.9999999999995453,0.0,0,24,== Music == | === Albums ===
http://dbpedia.org/ontology/Book,http://dbpedia.org/resource/Tijuana_bible,Tijuana Bible,38,9,0.9999999999995453,0.0,0,24,== Music == | === Albums ===
http://dbpedia.org/class/yago/WikicatComics,http://dbpedia.org/resource/Tijuana_bible,Tijuana Bible,38,9,0.9999999999995453,0.0,0,24,== Music == | === Albums ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Tijuana_bible,Tijuana Bible,38,9,0.9999999999995453,0.0,0,24,== Music == | === Albums ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Tijuana_bible,Tijuana Bible,38,9,0.9999999999995453,0.0,0,24,== Music == | === Albums ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Tijuana_bible,Tijuana Bible,38,9,0.9999999999995453,0.0,0,24,== Music == | === Albums ===
http://dbpedia.org/class/yago/Comedian109940146,http://dbpedia.org/resource/Tijuana_bible,Tijuana Bible,38,9,0.9999999999995453,0.0,0,24,== Music == | === Albums ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Tijuana_bible,Tijuana Bible,38,9,0.9999999999995453,0.0,0,24,== Music == | === Albums ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Tijuana_bible,Tijuana Bible,38,9,0.9999999999995453,0.0,0,24,== Music == | === Albums ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Tijuana_bible,Tijuana Bible,38,9,0.9999999999995453,0.0,0,24,== Music == | === Albums ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Tijuana_bible,Tijuana Bible,38,9,0.9999999999995453,0.0,0,24,== Music == | === Albums ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Tijuana_bible,Tijuana Bible,38,9,0.9999999999995453,0.0,0,24,== Music == | === Albums ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Tijuana_bible,Tijuana Bible,38,9,0.9999999999995453,0.0,0,24,== Music == | === Albums ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Tijuana_bible,Tijuana Bible,38,9,0.9999999999995453,0.0,0,24,== Music == | === Albums ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Tijuana_bible,Tijuana Bible,38,9,0.9999999999995453,0.0,0,24,== Music == | === Albums ===
http://dbpedia.org/class/yago/WikicatEroticComics,http://dbpedia.org/resource/Tijuana_bible,Tijuana Bible,38,9,0.9999999999995453,0.0,0,24,== Music == | === Albums ===
http://dbpedia.org/class/yago/WikicatProbabilisticComplexityClasses,http://dbpedia.org/resource/RP_(complexity),CORP,86,0,0.98864710568184,0.0,0,66,== Bibliography == | === Novels ===
http://dbpedia.org/class/yago/WikicatComplexityClasses,http://dbpedia.org/resource/RP_(complexity),CORP,86,0,0.98864710568184,0.0,0,66,== Bibliography == | === Novels ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/RP_(complexity),CORP,86,0,0.98864710568184,0.0,0,66,== Bibliography == | === Novels ===
http://dbpedia.org/class/yago/Class107997703,http://dbpedia.org/resource/RP_(complexity),CORP,86,0,0.98864710568184,0.0,0,66,== Bibliography == | === Novels ===
http://dbpedia.org/class/yago/Collection107951464,http://dbpedia.org/resource/RP_(complexity),CORP,86,0,0.98864710568184,0.0,0,66,== Bibliography == | === Novels ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/RP_(complexity),CORP,86,0,0.98864710568184,0.0,0,66,== Bibliography == | === Novels ===
