types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Charles-Joseph_Mathon_de_la_Cour,Charles-Joseph Mathon de la Cour,2,54,1.0,0.0,1,137,== Legacy == | === Bequest ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Charles-Joseph_Mathon_de_la_Cour,Charles-Joseph Mathon de la Cour,2,54,1.0,0.0,1,137,== Legacy == | === Bequest ===
http://dbpedia.org/class/yago/WikicatPeopleFromLyon,http://dbpedia.org/resource/Charles-Joseph_Mathon_de_la_Cour,Charles-Joseph Mathon de la Cour,2,54,1.0,0.0,1,137,== Legacy == | === Bequest ===
http://dbpedia.org/class/yago/WikicatPeopleFromRhône-AlpesExecutedByGuillotineDuringTheFrenchRevolution,http://dbpedia.org/resource/Charles-Joseph_Mathon_de_la_Cour,Charles-Joseph Mathon de la Cour,2,54,1.0,0.0,1,137,== Legacy == | === Bequest ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Charles-Joseph_Mathon_de_la_Cour,Charles-Joseph Mathon de la Cour,2,54,1.0,0.0,1,137,== Legacy == | === Bequest ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Charles-Joseph_Mathon_de_la_Cour,Charles-Joseph Mathon de la Cour,2,54,1.0,0.0,1,137,== Legacy == | === Bequest ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Charles-Joseph_Mathon_de_la_Cour,Charles-Joseph Mathon de la Cour,2,54,1.0,0.0,1,137,== Legacy == | === Bequest ===
http://dbpedia.org/class/yago/Capitalist109609232,http://dbpedia.org/resource/Charles-Joseph_Mathon_de_la_Cour,Charles-Joseph Mathon de la Cour,2,54,1.0,0.0,1,137,== Legacy == | === Bequest ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Charles-Joseph_Mathon_de_la_Cour,Charles-Joseph Mathon de la Cour,2,54,1.0,0.0,1,137,== Legacy == | === Bequest ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Charles-Joseph_Mathon_de_la_Cour,Charles-Joseph Mathon de la Cour,2,54,1.0,0.0,1,137,== Legacy == | === Bequest ===
http://dbpedia.org/class/yago/Financier110090020,http://dbpedia.org/resource/Charles-Joseph_Mathon_de_la_Cour,Charles-Joseph Mathon de la Cour,2,54,1.0,0.0,1,137,== Legacy == | === Bequest ===
http://dbpedia.org/class/yago/Journalist110224578,http://dbpedia.org/resource/Charles-Joseph_Mathon_de_la_Cour,Charles-Joseph Mathon de la Cour,2,54,1.0,0.0,1,137,== Legacy == | === Bequest ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Charles-Joseph_Mathon_de_la_Cour,Charles-Joseph Mathon de la Cour,2,54,1.0,0.0,1,137,== Legacy == | === Bequest ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Charles-Joseph_Mathon_de_la_Cour,Charles-Joseph Mathon de la Cour,2,54,1.0,0.0,1,137,== Legacy == | === Bequest ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Charles-Joseph_Mathon_de_la_Cour,Charles-Joseph Mathon de la Cour,2,54,1.0,0.0,1,137,== Legacy == | === Bequest ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Charles-Joseph_Mathon_de_la_Cour,Charles-Joseph Mathon de la Cour,2,54,1.0,0.0,1,137,== Legacy == | === Bequest ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Charles-Joseph_Mathon_de_la_Cour,Charles-Joseph Mathon de la Cour,2,54,1.0,0.0,1,137,== Legacy == | === Bequest ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Charles-Joseph_Mathon_de_la_Cour,Charles-Joseph Mathon de la Cour,2,54,1.0,0.0,1,137,== Legacy == | === Bequest ===
http://dbpedia.org/class/yago/Wikicat18th-centuryFrenchWriters,http://dbpedia.org/resource/Charles-Joseph_Mathon_de_la_Cour,Charles-Joseph Mathon de la Cour,2,54,1.0,0.0,1,137,== Legacy == | === Bequest ===
http://dbpedia.org/class/yago/WikicatFrenchFinanciers,http://dbpedia.org/resource/Charles-Joseph_Mathon_de_la_Cour,Charles-Joseph Mathon de la Cour,2,54,1.0,0.0,1,137,== Legacy == | === Bequest ===
http://dbpedia.org/class/yago/WikicatFrenchJournalists,http://dbpedia.org/resource/Charles-Joseph_Mathon_de_la_Cour,Charles-Joseph Mathon de la Cour,2,54,1.0,0.0,1,137,== Legacy == | === Bequest ===
http://dbpedia.org/class/yago/WikicatPeopleExecutedByGuillotineDuringTheFrenchRevolution,http://dbpedia.org/resource/Charles-Joseph_Mathon_de_la_Cour,Charles-Joseph Mathon de la Cour,2,54,1.0,0.0,1,137,== Legacy == | === Bequest ===
