types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAnimalsDescribedIn1803,http://dbpedia.org/resource/Thopha_saccata,double drummer,25,46,0.9999999996956604,0.0,7,8,== Biography == | === Career ===
http://dbpedia.org/ontology/Eukaryote,http://dbpedia.org/resource/Thopha_saccata,double drummer,25,46,0.9999999996956604,0.0,7,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatCicadas,http://dbpedia.org/resource/Thopha_saccata,double drummer,25,46,0.9999999996956604,0.0,7,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Animal100015388,http://dbpedia.org/resource/Thopha_saccata,double drummer,25,46,0.9999999996956604,0.0,7,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Arthropod101767661,http://dbpedia.org/resource/Thopha_saccata,double drummer,25,46,0.9999999996956604,0.0,7,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Cicada102256656,http://dbpedia.org/resource/Thopha_saccata,double drummer,25,46,0.9999999996956604,0.0,7,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/HomopterousInsect102246011,http://dbpedia.org/resource/Thopha_saccata,double drummer,25,46,0.9999999996956604,0.0,7,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Insect102159955,http://dbpedia.org/resource/Thopha_saccata,double drummer,25,46,0.9999999996956604,0.0,7,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Invertebrate101905661,http://dbpedia.org/resource/Thopha_saccata,double drummer,25,46,0.9999999996956604,0.0,7,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Thopha_saccata,double drummer,25,46,0.9999999996956604,0.0,7,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Thopha_saccata,double drummer,25,46,0.9999999996956604,0.0,7,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Thopha_saccata,double drummer,25,46,0.9999999996956604,0.0,7,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Thopha_saccata,double drummer,25,46,0.9999999996956604,0.0,7,8,== Biography == | === Career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Thopha_saccata,double drummer,25,46,0.9999999996956604,0.0,7,8,== Biography == | === Career ===
