types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Louis-Claude_Daquin,Louis-Claude Daquin,55,0,1.0,0.0,0,52,== List of works == | ==== Guitar duets ====
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Louis-Claude_Daquin,Louis-Claude Daquin,55,0,1.0,0.0,0,52,== List of works == | ==== Guitar duets ====
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Louis-Claude_Daquin,Louis-Claude Daquin,55,0,1.0,0.0,0,52,== List of works == | ==== Guitar duets ====
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Louis-Claude_Daquin,Louis-Claude Daquin,55,0,1.0,0.0,0,52,== List of works == | ==== Guitar duets ====
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/Louis-Claude_Daquin,Louis-Claude Daquin,55,0,1.0,0.0,0,52,== List of works == | ==== Guitar duets ====
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Louis-Claude_Daquin,Louis-Claude Daquin,55,0,1.0,0.0,0,52,== List of works == | ==== Guitar duets ====
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Louis-Claude_Daquin,Louis-Claude Daquin,55,0,1.0,0.0,0,52,== List of works == | ==== Guitar duets ====
http://dbpedia.org/class/yago/Organist110382825,http://dbpedia.org/resource/Louis-Claude_Daquin,Louis-Claude Daquin,55,0,1.0,0.0,0,52,== List of works == | ==== Guitar duets ====
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Louis-Claude_Daquin,Louis-Claude Daquin,55,0,1.0,0.0,0,52,== List of works == | ==== Guitar duets ====
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Louis-Claude_Daquin,Louis-Claude Daquin,55,0,1.0,0.0,0,52,== List of works == | ==== Guitar duets ====
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Louis-Claude_Daquin,Louis-Claude Daquin,55,0,1.0,0.0,0,52,== List of works == | ==== Guitar duets ====
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Louis-Claude_Daquin,Louis-Claude Daquin,55,0,1.0,0.0,0,52,== List of works == | ==== Guitar duets ====
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Louis-Claude_Daquin,Louis-Claude Daquin,55,0,1.0,0.0,0,52,== List of works == | ==== Guitar duets ====
http://dbpedia.org/class/yago/Harpsichordist110161047,http://dbpedia.org/resource/Louis-Claude_Daquin,Louis-Claude Daquin,55,0,1.0,0.0,0,52,== List of works == | ==== Guitar duets ====
http://dbpedia.org/class/yago/WikicatFrenchClassicalOrganists,http://dbpedia.org/resource/Louis-Claude_Daquin,Louis-Claude Daquin,55,0,1.0,0.0,0,52,== List of works == | ==== Guitar duets ====
http://dbpedia.org/class/yago/WikicatFrenchComposers,http://dbpedia.org/resource/Louis-Claude_Daquin,Louis-Claude Daquin,55,0,1.0,0.0,0,52,== List of works == | ==== Guitar duets ====
http://dbpedia.org/class/yago/WikicatFrenchHarpsichordists,http://dbpedia.org/resource/Louis-Claude_Daquin,Louis-Claude Daquin,55,0,1.0,0.0,0,52,== List of works == | ==== Guitar duets ====
http://dbpedia.org/class/yago/WikicatFrenchOrganists,http://dbpedia.org/resource/Louis-Claude_Daquin,Louis-Claude Daquin,55,0,1.0,0.0,0,52,== List of works == | ==== Guitar duets ====
http://dbpedia.org/class/yago/WikicatHarpsichordists,http://dbpedia.org/resource/Louis-Claude_Daquin,Louis-Claude Daquin,55,0,1.0,0.0,0,52,== List of works == | ==== Guitar duets ====
http://dbpedia.org/class/yago/WikicatCathedralOrganists,http://dbpedia.org/resource/Louis-Claude_Daquin,Louis-Claude Daquin,55,0,1.0,0.0,0,52,== List of works == | ==== Guitar duets ====
http://dbpedia.org/class/yago/WikicatChildClassicalMusicians,http://dbpedia.org/resource/Louis-Claude_Daquin,Louis-Claude Daquin,55,0,1.0,0.0,0,52,== List of works == | ==== Guitar duets ====
http://dbpedia.org/class/yago/WikicatClassicalOrganists,http://dbpedia.org/resource/Louis-Claude_Daquin,Louis-Claude Daquin,55,0,1.0,0.0,0,52,== List of works == | ==== Guitar duets ====
