types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Das_Weizenkorn_muss_sterben,Das Weizenkorn muss sterben,5,36,1.0,0.0,3,0,
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Segne_dieses_Kind,Segne dieses Kind,6,70,1.0,0.0,3,0,
http://dbpedia.org/ontology/Plant,http://dbpedia.org/resource/Uchen_script,uchen,18,23,0.999999999999858,0.0,1,23,== Works == | === Books ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Einer_ist_unser_Leben,Einer ist unser Leben,4,1,1.0,0.0,0,34,== Works == | === Songs ===
http://www.w3.org/2002/07/owl#Thing,"http://dbpedia.org/resource/Herr,_segne_uns","Herr, segne uns",3,1,1.0,0.0,0,38,== Works == | === Songs ===
http://www.w3.org/2002/07/owl#Thing,"http://dbpedia.org/resource/Seht,_er_lebt","Seht, er lebt",6,1,1.0,0.0,0,43,== Works == | === Songs ===
