types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/AnatomicalStructure,http://dbpedia.org/resource/Segmental_resection,Resection,207,88,0.9999999999982664,0.0,2,20,== Discography == | === Band releases ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Segmental_resection,Resection,207,88,0.9999999999982664,0.0,2,20,== Discography == | === Band releases ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Segmental_resection,Resection,207,88,0.9999999999982664,0.0,2,20,== Discography == | === Band releases ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Segmental_resection,Resection,207,88,0.9999999999982664,0.0,2,20,== Discography == | === Band releases ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Segmental_resection,Resection,207,88,0.9999999999982664,0.0,2,20,== Discography == | === Band releases ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Segmental_resection,Resection,207,88,0.9999999999982664,0.0,2,20,== Discography == | === Band releases ===
http://dbpedia.org/class/yago/MedicalProcedure101024392,http://dbpedia.org/resource/Segmental_resection,Resection,207,88,0.9999999999982664,0.0,2,20,== Discography == | === Band releases ===
http://dbpedia.org/class/yago/Operation100671351,http://dbpedia.org/resource/Segmental_resection,Resection,207,88,0.9999999999982664,0.0,2,20,== Discography == | === Band releases ===
http://dbpedia.org/class/yago/Procedure101023820,http://dbpedia.org/resource/Segmental_resection,Resection,207,88,0.9999999999982664,0.0,2,20,== Discography == | === Band releases ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Segmental_resection,Resection,207,88,0.9999999999982664,0.0,2,20,== Discography == | === Band releases ===
http://dbpedia.org/class/yago/WikicatSurgicalProcedures,http://dbpedia.org/resource/Segmental_resection,Resection,207,88,0.9999999999982664,0.0,2,20,== Discography == | === Band releases ===
http://dbpedia.org/class/yago/WikicatSurgicalRemovalProcedures,http://dbpedia.org/resource/Segmental_resection,Resection,207,88,0.9999999999982664,0.0,2,20,== Discography == | === Band releases ===
