types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Short_story,Short story writer,8477,18,1.0,0.0,9,9,== Career == | === Film career ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Short_story,Short story writer,8477,18,1.0,0.0,9,9,== Career == | === Film career ===
http://dbpedia.org/ontology/MusicalWork,http://dbpedia.org/resource/Short_story,Short story writer,8477,18,1.0,0.0,9,9,== Career == | === Film career ===
