types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Pohjola,Pohjola,161,46,0.9999999999997158,0.0,0,12,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Pohjola,Pohjola,161,46,0.9999999999997158,0.0,0,12,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Pohjola,Pohjola,161,46,0.9999999999997158,0.0,0,12,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Pohjola,Pohjola,161,46,0.9999999999997158,0.0,0,12,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/AdministrativeDistrict108491826,http://dbpedia.org/resource/Pohjola,Pohjola,161,46,0.9999999999997158,0.0,0,12,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Country108544813,http://dbpedia.org/resource/Pohjola,Pohjola,161,46,0.9999999999997158,0.0,0,12,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/District108552138,http://dbpedia.org/resource/Pohjola,Pohjola,161,46,0.9999999999997158,0.0,0,12,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Pohjola,Pohjola,161,46,0.9999999999997158,0.0,0,12,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Pohjola,Pohjola,161,46,0.9999999999997158,0.0,0,12,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Pohjola,Pohjola,161,46,0.9999999999997158,0.0,0,12,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Pohjola,Pohjola,161,46,0.9999999999997158,0.0,0,12,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/WikicatFictionalCountries,http://dbpedia.org/resource/Pohjola,Pohjola,161,46,0.9999999999997158,0.0,0,12,== Discography == | === Collaborations ===
