types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Ethan_Mordden,Ethan Mordden,45,0,1.0,0.0,0,78,== Artistry == | === The artist ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Ethan_Mordden,Ethan Mordden,45,0,1.0,0.0,0,78,== Artistry == | === The artist ===
http://dbpedia.org/class/yago/WikicatAmericanMaleNovelists,http://dbpedia.org/resource/Ethan_Mordden,Ethan Mordden,45,0,1.0,0.0,0,78,== Artistry == | === The artist ===
http://dbpedia.org/class/yago/WikicatAmericanPeople,http://dbpedia.org/resource/Ethan_Mordden,Ethan Mordden,45,0,1.0,0.0,0,78,== Artistry == | === The artist ===
http://dbpedia.org/class/yago/WikicatPeopleFromPennsylvania,http://dbpedia.org/resource/Ethan_Mordden,Ethan Mordden,45,0,1.0,0.0,0,78,== Artistry == | === The artist ===
http://dbpedia.org/class/yago/WikicatWriters,http://dbpedia.org/resource/Ethan_Mordden,Ethan Mordden,45,0,1.0,0.0,0,78,== Artistry == | === The artist ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Ethan_Mordden,Ethan Mordden,45,0,1.0,0.0,0,78,== Artistry == | === The artist ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Ethan_Mordden,Ethan Mordden,45,0,1.0,0.0,0,78,== Artistry == | === The artist ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Ethan_Mordden,Ethan Mordden,45,0,1.0,0.0,0,78,== Artistry == | === The artist ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Ethan_Mordden,Ethan Mordden,45,0,1.0,0.0,0,78,== Artistry == | === The artist ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Ethan_Mordden,Ethan Mordden,45,0,1.0,0.0,0,78,== Artistry == | === The artist ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Ethan_Mordden,Ethan Mordden,45,0,1.0,0.0,0,78,== Artistry == | === The artist ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Ethan_Mordden,Ethan Mordden,45,0,1.0,0.0,0,78,== Artistry == | === The artist ===
http://dbpedia.org/class/yago/Novelist110363573,http://dbpedia.org/resource/Ethan_Mordden,Ethan Mordden,45,0,1.0,0.0,0,78,== Artistry == | === The artist ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Ethan_Mordden,Ethan Mordden,45,0,1.0,0.0,0,78,== Artistry == | === The artist ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Ethan_Mordden,Ethan Mordden,45,0,1.0,0.0,0,78,== Artistry == | === The artist ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Ethan_Mordden,Ethan Mordden,45,0,1.0,0.0,0,78,== Artistry == | === The artist ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Ethan_Mordden,Ethan Mordden,45,0,1.0,0.0,0,78,== Artistry == | === The artist ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Ethan_Mordden,Ethan Mordden,45,0,1.0,0.0,0,78,== Artistry == | === The artist ===
http://dbpedia.org/class/yago/Wikicat20th-centuryAmericanNovelists,http://dbpedia.org/resource/Ethan_Mordden,Ethan Mordden,45,0,1.0,0.0,0,78,== Artistry == | === The artist ===
http://dbpedia.org/class/yago/Wikicat21st-centuryAmericanNovelists,http://dbpedia.org/resource/Ethan_Mordden,Ethan Mordden,45,0,1.0,0.0,0,78,== Artistry == | === The artist ===
http://dbpedia.org/class/yago/WikicatGayWriters,http://dbpedia.org/resource/Ethan_Mordden,Ethan Mordden,45,0,1.0,0.0,0,78,== Artistry == | === The artist ===
