types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Lemuria,Lemuria,324,12,0.9996655972609364,0.0002089681895921289,0,18,== Discography == | === Bands/projects/guest vocals ===
http://dbpedia.org/class/yago/WikicatAsianManRecordsArtists,http://dbpedia.org/resource/Lemuria,Lemuria,324,12,0.9996655972609364,0.0002089681895921289,0,18,== Discography == | === Bands/projects/guest vocals ===
http://dbpedia.org/class/yago/WikicatBridge9RecordsArtists,http://dbpedia.org/resource/Lemuria,Lemuria,324,12,0.9996655972609364,0.0002089681895921289,0,18,== Discography == | === Bands/projects/guest vocals ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Lemuria,Lemuria,324,12,0.9996655972609364,0.0002089681895921289,0,18,== Discography == | === Bands/projects/guest vocals ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Lemuria,Lemuria,324,12,0.9996655972609364,0.0002089681895921289,0,18,== Discography == | === Bands/projects/guest vocals ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Lemuria,Lemuria,324,12,0.9996655972609364,0.0002089681895921289,0,18,== Discography == | === Bands/projects/guest vocals ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Lemuria,Lemuria,324,12,0.9996655972609364,0.0002089681895921289,0,18,== Discography == | === Bands/projects/guest vocals ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Lemuria,Lemuria,324,12,0.9996655972609364,0.0002089681895921289,0,18,== Discography == | === Bands/projects/guest vocals ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Lemuria,Lemuria,324,12,0.9996655972609364,0.0002089681895921289,0,18,== Discography == | === Bands/projects/guest vocals ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Lemuria,Lemuria,324,12,0.9996655972609364,0.0002089681895921289,0,18,== Discography == | === Bands/projects/guest vocals ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Lemuria,Lemuria,324,12,0.9996655972609364,0.0002089681895921289,0,18,== Discography == | === Bands/projects/guest vocals ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Lemuria,Lemuria,324,12,0.9996655972609364,0.0002089681895921289,0,18,== Discography == | === Bands/projects/guest vocals ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Lemuria,Lemuria,324,12,0.9996655972609364,0.0002089681895921289,0,18,== Discography == | === Bands/projects/guest vocals ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Lemuria,Lemuria,324,12,0.9996655972609364,0.0002089681895921289,0,18,== Discography == | === Bands/projects/guest vocals ===
