types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Summer_camp,sleep-away camp,1197,167,1.0,0.0,1,14,== Career == | === Community activist ===
http://dbpedia.org/ontology/Work,http://dbpedia.org/resource/Summer_camp,sleep-away camp,1197,167,1.0,0.0,1,14,== Career == | === Community activist ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Summer_camp,sleep-away camp,1197,167,1.0,0.0,1,14,== Career == | === Community activist ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Summer_camp,sleep-away camp,1197,167,1.0,0.0,1,14,== Career == | === Community activist ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Summer_camp,sleep-away camp,1197,167,1.0,0.0,1,14,== Career == | === Community activist ===
http://dbpedia.org/class/yago/Camp102945594,http://dbpedia.org/resource/Summer_camp,sleep-away camp,1197,167,1.0,0.0,1,14,== Career == | === Community activist ===
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/Summer_camp,sleep-away camp,1197,167,1.0,0.0,1,14,== Career == | === Community activist ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Summer_camp,sleep-away camp,1197,167,1.0,0.0,1,14,== Career == | === Community activist ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Summer_camp,sleep-away camp,1197,167,1.0,0.0,1,14,== Career == | === Community activist ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Summer_camp,sleep-away camp,1197,167,1.0,0.0,1,14,== Career == | === Community activist ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Summer_camp,sleep-away camp,1197,167,1.0,0.0,1,14,== Career == | === Community activist ===
http://dbpedia.org/class/yago/Site108651247,http://dbpedia.org/resource/Summer_camp,sleep-away camp,1197,167,1.0,0.0,1,14,== Career == | === Community activist ===
http://dbpedia.org/class/yago/Tract108673395,http://dbpedia.org/resource/Summer_camp,sleep-away camp,1197,167,1.0,0.0,1,14,== Career == | === Community activist ===
http://dbpedia.org/class/yago/WikicatSummerCamps,http://dbpedia.org/resource/Summer_camp,sleep-away camp,1197,167,1.0,0.0,1,14,== Career == | === Community activist ===
