types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Albert_Friedlander,Albert Friedlander,16,77,1.0,0.0,0,46,== Discography == | === Other works ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Albert_Friedlander,Albert Friedlander,16,77,1.0,0.0,0,46,== Discography == | === Other works ===
http://dbpedia.org/class/yago/WikicatAmericanPeople,http://dbpedia.org/resource/Albert_Friedlander,Albert Friedlander,16,77,1.0,0.0,0,46,== Discography == | === Other works ===
http://dbpedia.org/class/yago/WikicatHebrewUnionCollegeAlumni,http://dbpedia.org/resource/Albert_Friedlander,Albert Friedlander,16,77,1.0,0.0,0,46,== Discography == | === Other works ===
http://dbpedia.org/class/yago/WikicatHonoraryOfficersOfTheOrderOfTheBritishEmpire,http://dbpedia.org/resource/Albert_Friedlander,Albert Friedlander,16,77,1.0,0.0,0,46,== Discography == | === Other works ===
http://dbpedia.org/class/yago/WikicatColumbiaUniversityAlumni,http://dbpedia.org/resource/Albert_Friedlander,Albert Friedlander,16,77,1.0,0.0,0,46,== Discography == | === Other works ===
http://dbpedia.org/class/yago/Worker109632518,http://dbpedia.org/resource/Albert_Friedlander,Albert Friedlander,16,77,1.0,0.0,0,46,== Discography == | === Other works ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Albert_Friedlander,Albert Friedlander,16,77,1.0,0.0,0,46,== Discography == | === Other works ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Albert_Friedlander,Albert Friedlander,16,77,1.0,0.0,0,46,== Discography == | === Other works ===
http://dbpedia.org/class/yago/Alumnus109786338,http://dbpedia.org/resource/Albert_Friedlander,Albert Friedlander,16,77,1.0,0.0,0,46,== Discography == | === Other works ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Albert_Friedlander,Albert Friedlander,16,77,1.0,0.0,0,46,== Discography == | === Other works ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Albert_Friedlander,Albert Friedlander,16,77,1.0,0.0,0,46,== Discography == | === Other works ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Albert_Friedlander,Albert Friedlander,16,77,1.0,0.0,0,46,== Discography == | === Other works ===
http://dbpedia.org/class/yago/MilitaryOfficer110317007,http://dbpedia.org/resource/Albert_Friedlander,Albert Friedlander,16,77,1.0,0.0,0,46,== Discography == | === Other works ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Albert_Friedlander,Albert Friedlander,16,77,1.0,0.0,0,46,== Discography == | === Other works ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Albert_Friedlander,Albert Friedlander,16,77,1.0,0.0,0,46,== Discography == | === Other works ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Albert_Friedlander,Albert Friedlander,16,77,1.0,0.0,0,46,== Discography == | === Other works ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Albert_Friedlander,Albert Friedlander,16,77,1.0,0.0,0,46,== Discography == | === Other works ===
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/Albert_Friedlander,Albert Friedlander,16,77,1.0,0.0,0,46,== Discography == | === Other works ===
http://dbpedia.org/class/yago/Serviceman110582746,http://dbpedia.org/resource/Albert_Friedlander,Albert Friedlander,16,77,1.0,0.0,0,46,== Discography == | === Other works ===
http://dbpedia.org/class/yago/SkilledWorker110605985,http://dbpedia.org/resource/Albert_Friedlander,Albert Friedlander,16,77,1.0,0.0,0,46,== Discography == | === Other works ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Albert_Friedlander,Albert Friedlander,16,77,1.0,0.0,0,46,== Discography == | === Other works ===
http://dbpedia.org/class/yago/WikicatPeopleFromBerlin,http://dbpedia.org/resource/Albert_Friedlander,Albert Friedlander,16,77,1.0,0.0,0,46,== Discography == | === Other works ===
http://dbpedia.org/class/yago/WikicatTwinPeopleFromGermany,http://dbpedia.org/resource/Albert_Friedlander,Albert Friedlander,16,77,1.0,0.0,0,46,== Discography == | === Other works ===
