types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Coating,Coating,978,32,0.9999999997705372,0.0,0,17,== Equipment == | === Guitars ===
http://dbpedia.org/class/yago/WikicatWire(band)CompilationAlbums,http://dbpedia.org/resource/Coating,Coating,978,32,0.9999999997705372,0.0,0,17,== Equipment == | === Guitars ===
http://dbpedia.org/class/yago/Album106591815,http://dbpedia.org/resource/Coating,Coating,978,32,0.9999999997705372,0.0,0,17,== Equipment == | === Guitars ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Coating,Coating,978,32,0.9999999997705372,0.0,0,17,== Equipment == | === Guitars ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Coating,Coating,978,32,0.9999999997705372,0.0,0,17,== Equipment == | === Guitars ===
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/Coating,Coating,978,32,0.9999999997705372,0.0,0,17,== Equipment == | === Guitars ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Coating,Coating,978,32,0.9999999997705372,0.0,0,17,== Equipment == | === Guitars ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Coating,Coating,978,32,0.9999999997705372,0.0,0,17,== Equipment == | === Guitars ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Coating,Coating,978,32,0.9999999997705372,0.0,0,17,== Equipment == | === Guitars ===
http://dbpedia.org/class/yago/Wikicat1997CompilationAlbums,http://dbpedia.org/resource/Coating,Coating,978,32,0.9999999997705372,0.0,0,17,== Equipment == | === Guitars ===
http://dbpedia.org/class/yago/WikicatEnglish-languageCompilationAlbums,http://dbpedia.org/resource/Coating,Coating,978,32,0.9999999997705372,0.0,0,17,== Equipment == | === Guitars ===
