types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Ignaz_Schnitzer,Ignaz Schnitzer,7,55,1.0,0.0,0,24,== List of compositions == | === Vocal ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Bernhard_Buchbinder,Bernhard Buchbinder,12,20,1.0,0.0,1,25,== List of compositions == | === Vocal ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Bernhard_Buchbinder,Bernhard Buchbinder,12,20,1.0,0.0,1,25,== List of compositions == | === Vocal ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Violin_Sonata_No._6_(Beethoven),Violin Sonata No. 6,6,0,1.0,0.0,0,60,== List of compositions == | === Chamber ===
http://dbpedia.org/class/yago/WikicatViolinSonatasByLudwigVanBeethoven,http://dbpedia.org/resource/Violin_Sonata_No._6_(Beethoven),Violin Sonata No. 6,6,0,1.0,0.0,0,60,== List of compositions == | === Chamber ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Violin_Sonata_No._6_(Beethoven),Violin Sonata No. 6,6,0,1.0,0.0,0,60,== List of compositions == | === Chamber ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Violin_Sonata_No._6_(Beethoven),Violin Sonata No. 6,6,0,1.0,0.0,0,60,== List of compositions == | === Chamber ===
http://dbpedia.org/class/yago/ClassicalMusic107025900,http://dbpedia.org/resource/Violin_Sonata_No._6_(Beethoven),Violin Sonata No. 6,6,0,1.0,0.0,0,60,== List of compositions == | === Chamber ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Violin_Sonata_No._6_(Beethoven),Violin Sonata No. 6,6,0,1.0,0.0,0,60,== List of compositions == | === Chamber ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Violin_Sonata_No._6_(Beethoven),Violin Sonata No. 6,6,0,1.0,0.0,0,60,== List of compositions == | === Chamber ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Violin_Sonata_No._6_(Beethoven),Violin Sonata No. 6,6,0,1.0,0.0,0,60,== List of compositions == | === Chamber ===
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/Violin_Sonata_No._6_(Beethoven),Violin Sonata No. 6,6,0,1.0,0.0,0,60,== List of compositions == | === Chamber ===
http://dbpedia.org/class/yago/Sonata107044088,http://dbpedia.org/resource/Violin_Sonata_No._6_(Beethoven),Violin Sonata No. 6,6,0,1.0,0.0,0,60,== List of compositions == | === Chamber ===
http://dbpedia.org/ontology/Building,http://dbpedia.org/resource/Dew,Dewdrops,453,0,0.9999999999966748,0.0,0,86,== List of compositions == | === Solo ===
