types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Introduction100238022,http://dbpedia.org/resource/Earth_X,Earth X,207,122,1.0,0.0,0,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Line107012534,http://dbpedia.org/resource/Earth_X,Earth X,207,122,1.0,0.0,0,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Magnitude105090441,http://dbpedia.org/resource/Earth_X,Earth X,207,122,1.0,0.0,0,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Matter106365467,http://dbpedia.org/resource/Earth_X,Earth X,207,122,1.0,0.0,0,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Earth_X,Earth X,207,122,1.0,0.0,0,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Earth_X,Earth X,207,122,1.0,0.0,0,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/Earth_X,Earth X,207,122,1.0,0.0,0,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Earth_X,Earth X,207,122,1.0,0.0,0,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Beginning100235435,http://dbpedia.org/resource/Earth_X,Earth X,207,122,1.0,0.0,0,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/Earth_X,Earth X,207,122,1.0,0.0,0,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/ChangeOfState100199130,http://dbpedia.org/resource/Earth_X,Earth X,207,122,1.0,0.0,0,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Earth_X,Earth X,207,122,1.0,0.0,0,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Dimension105093581,http://dbpedia.org/resource/Earth_X,Earth X,207,122,1.0,0.0,0,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Earth_X,Earth X,207,122,1.0,0.0,0,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Heading106343971,http://dbpedia.org/resource/Earth_X,Earth X,207,122,1.0,0.0,0,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/WikicatMarvelComicsDimensions,http://dbpedia.org/resource/Earth_X,Earth X,207,122,1.0,0.0,0,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Text106387980,http://dbpedia.org/resource/Earth_X,Earth X,207,122,1.0,0.0,0,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Title106345993,http://dbpedia.org/resource/Earth_X,Earth X,207,122,1.0,0.0,0,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Wikicat2000ComicDebuts,http://dbpedia.org/resource/Earth_X,Earth X,207,122,1.0,0.0,0,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Wikicat2002ComicDebuts,http://dbpedia.org/resource/Earth_X,Earth X,207,122,1.0,0.0,0,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Property104916342,http://dbpedia.org/resource/Earth_X,Earth X,207,122,1.0,0.0,0,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Earth_X,Earth X,207,122,1.0,0.0,0,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Earth_X,Earth X,207,122,1.0,0.0,0,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Earth_X,Earth X,207,122,1.0,0.0,0,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Earth_X,Earth X,207,122,1.0,0.0,0,10,== Career == | === 2000s ===
