types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Petit_motet,petits motets,10,328,1.0,0.0,1,9,== Recordings == | === Early recordings ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Daniel_Reuss,Daniel Reuss,13,241,1.0,0.0,2,9,== Recordings == | === Early recordings ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Daniel_Reuss,Daniel Reuss,13,241,1.0,0.0,2,9,== Recordings == | === Early recordings ===
http://dbpedia.org/class/yago/WikicatChoralConductors,http://dbpedia.org/resource/Daniel_Reuss,Daniel Reuss,13,241,1.0,0.0,2,9,== Recordings == | === Early recordings ===
http://dbpedia.org/class/yago/WikicatConductors,http://dbpedia.org/resource/Daniel_Reuss,Daniel Reuss,13,241,1.0,0.0,2,9,== Recordings == | === Early recordings ===
http://dbpedia.org/class/yago/WikicatDutchChoralConductors,http://dbpedia.org/resource/Daniel_Reuss,Daniel Reuss,13,241,1.0,0.0,2,9,== Recordings == | === Early recordings ===
http://dbpedia.org/class/yago/WikicatDutchPeople,http://dbpedia.org/resource/Daniel_Reuss,Daniel Reuss,13,241,1.0,0.0,2,9,== Recordings == | === Early recordings ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Daniel_Reuss,Daniel Reuss,13,241,1.0,0.0,2,9,== Recordings == | === Early recordings ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Daniel_Reuss,Daniel Reuss,13,241,1.0,0.0,2,9,== Recordings == | === Early recordings ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Daniel_Reuss,Daniel Reuss,13,241,1.0,0.0,2,9,== Recordings == | === Early recordings ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Daniel_Reuss,Daniel Reuss,13,241,1.0,0.0,2,9,== Recordings == | === Early recordings ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Daniel_Reuss,Daniel Reuss,13,241,1.0,0.0,2,9,== Recordings == | === Early recordings ===
http://dbpedia.org/class/yago/Conductor109952539,http://dbpedia.org/resource/Daniel_Reuss,Daniel Reuss,13,241,1.0,0.0,2,9,== Recordings == | === Early recordings ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Daniel_Reuss,Daniel Reuss,13,241,1.0,0.0,2,9,== Recordings == | === Early recordings ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Daniel_Reuss,Daniel Reuss,13,241,1.0,0.0,2,9,== Recordings == | === Early recordings ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Daniel_Reuss,Daniel Reuss,13,241,1.0,0.0,2,9,== Recordings == | === Early recordings ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Daniel_Reuss,Daniel Reuss,13,241,1.0,0.0,2,9,== Recordings == | === Early recordings ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Daniel_Reuss,Daniel Reuss,13,241,1.0,0.0,2,9,== Recordings == | === Early recordings ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Daniel_Reuss,Daniel Reuss,13,241,1.0,0.0,2,9,== Recordings == | === Early recordings ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Daniel_Reuss,Daniel Reuss,13,241,1.0,0.0,2,9,== Recordings == | === Early recordings ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Daniel_Reuss,Daniel Reuss,13,241,1.0,0.0,2,9,== Recordings == | === Early recordings ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Le_Concert_Spirituel,Le Concert Spirituel,73,108,1.0,0.0,0,12,== Recordings == | === Early recordings ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Ormindo,L'Ormindo,36,168,1.0,0.0,3,17,== Recordings == | === Naïve Records ===
http://dbpedia.org/class/yago/WikicatItalian-languageOperas,http://dbpedia.org/resource/Ormindo,L'Ormindo,36,168,1.0,0.0,3,17,== Recordings == | === Naïve Records ===
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/Ormindo,L'Ormindo,36,168,1.0,0.0,3,17,== Recordings == | === Naïve Records ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Ormindo,L'Ormindo,36,168,1.0,0.0,3,17,== Recordings == | === Naïve Records ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Ormindo,L'Ormindo,36,168,1.0,0.0,3,17,== Recordings == | === Naïve Records ===
http://dbpedia.org/class/yago/ClassicalMusic107025900,http://dbpedia.org/resource/Ormindo,L'Ormindo,36,168,1.0,0.0,3,17,== Recordings == | === Naïve Records ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Ormindo,L'Ormindo,36,168,1.0,0.0,3,17,== Recordings == | === Naïve Records ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Ormindo,L'Ormindo,36,168,1.0,0.0,3,17,== Recordings == | === Naïve Records ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Ormindo,L'Ormindo,36,168,1.0,0.0,3,17,== Recordings == | === Naïve Records ===
