types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/WikicatBaroqueComposers,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/WikicatBohemianPeople,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/WikicatClassical-periodComposers,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/WikicatClassicalComposers,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/WikicatClassicalViolinists,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/WikicatCzechClassicalComposers,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/WikicatCzechClassicalViolinists,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/WikicatCzechComposers,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/WikicatCzechViolinists,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/Franz_Benda,Franz Benda,80,124,1.0,0.0,1,44,== Discography == | === Supporting ===
