types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Spanish_hip_hop,Spanish Hip Hop,17,154,1.0,0.0,0,5,== Biography == | === Career ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Spanish_hip_hop,Spanish Hip Hop,17,154,1.0,0.0,0,5,== Biography == | === Career ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Piro_Pueblo,Piro,63,12,0.6685131723729199,0.3596950057169868,1,5,== Biography == | === Career ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Luny_Tunes,Luny Tunes,404,61,1.0,0.0,3,9,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatHipHopRecordProducers,http://dbpedia.org/resource/Luny_Tunes,Luny Tunes,404,61,1.0,0.0,3,9,== Biography == | === Career ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Luny_Tunes,Luny Tunes,404,61,1.0,0.0,3,9,== Biography == | === Career ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Luny_Tunes,Luny Tunes,404,61,1.0,0.0,3,9,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatDominicanRepublicSingers,http://dbpedia.org/resource/Luny_Tunes,Luny Tunes,404,61,1.0,0.0,3,9,== Biography == | === Career ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Luny_Tunes,Luny Tunes,404,61,1.0,0.0,3,9,== Biography == | === Career ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Luny_Tunes,Luny Tunes,404,61,1.0,0.0,3,9,== Biography == | === Career ===
http://umbel.org/umbel/rc/Band_MusicGroup,http://dbpedia.org/resource/Luny_Tunes,Luny Tunes,404,61,1.0,0.0,3,9,== Biography == | === Career ===
http://umbel.org/umbel/rc/Organization,http://dbpedia.org/resource/Luny_Tunes,Luny Tunes,404,61,1.0,0.0,3,9,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatReggaeMusicians,http://dbpedia.org/resource/Luny_Tunes,Luny Tunes,404,61,1.0,0.0,3,9,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatReggaetonMusicians,http://dbpedia.org/resource/Luny_Tunes,Luny Tunes,404,61,1.0,0.0,3,9,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatReggaetonRecordProducers,http://dbpedia.org/resource/Luny_Tunes,Luny Tunes,404,61,1.0,0.0,3,9,== Biography == | === Career ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Luny_Tunes,Luny Tunes,404,61,1.0,0.0,3,9,== Biography == | === Career ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Luny_Tunes,Luny Tunes,404,61,1.0,0.0,3,9,== Biography == | === Career ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Luny_Tunes,Luny Tunes,404,61,1.0,0.0,3,9,== Biography == | === Career ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Luny_Tunes,Luny Tunes,404,61,1.0,0.0,3,9,== Biography == | === Career ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Luny_Tunes,Luny Tunes,404,61,1.0,0.0,3,9,== Biography == | === Career ===
http://dbpedia.org/class/yago/Maker110284064,http://dbpedia.org/resource/Luny_Tunes,Luny Tunes,404,61,1.0,0.0,3,9,== Biography == | === Career ===
http://dbpedia.org/class/yago/Manufacturer110292316,http://dbpedia.org/resource/Luny_Tunes,Luny Tunes,404,61,1.0,0.0,3,9,== Biography == | === Career ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Luny_Tunes,Luny Tunes,404,61,1.0,0.0,3,9,== Biography == | === Career ===
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/Luny_Tunes,Luny Tunes,404,61,1.0,0.0,3,9,== Biography == | === Career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Luny_Tunes,Luny Tunes,404,61,1.0,0.0,3,9,== Biography == | === Career ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Luny_Tunes,Luny Tunes,404,61,1.0,0.0,3,9,== Biography == | === Career ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Luny_Tunes,Luny Tunes,404,61,1.0,0.0,3,9,== Biography == | === Career ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Luny_Tunes,Luny Tunes,404,61,1.0,0.0,3,9,== Biography == | === Career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Luny_Tunes,Luny Tunes,404,61,1.0,0.0,3,9,== Biography == | === Career ===
http://dbpedia.org/class/yago/Singer110599806,http://dbpedia.org/resource/Luny_Tunes,Luny Tunes,404,61,1.0,0.0,3,9,== Biography == | === Career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Luny_Tunes,Luny Tunes,404,61,1.0,0.0,3,9,== Biography == | === Career ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Jay_Lozada,Jay Lozada,5,12,1.0,0.0,1,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatPeopleFromPuertoRico,http://dbpedia.org/resource/Jay_Lozada,Jay Lozada,5,12,1.0,0.0,1,11,== Biography == | === Career ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Jay_Lozada,Jay Lozada,5,12,1.0,0.0,1,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Jay_Lozada,Jay Lozada,5,12,1.0,0.0,1,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Jay_Lozada,Jay Lozada,5,12,1.0,0.0,1,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Jay_Lozada,Jay Lozada,5,12,1.0,0.0,1,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatPuertoRicanMaleSingers,http://dbpedia.org/resource/Jay_Lozada,Jay Lozada,5,12,1.0,0.0,1,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatSalsaMusicians,http://dbpedia.org/resource/Jay_Lozada,Jay Lozada,5,12,1.0,0.0,1,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Jay_Lozada,Jay Lozada,5,12,1.0,0.0,1,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Jay_Lozada,Jay Lozada,5,12,1.0,0.0,1,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Jay_Lozada,Jay Lozada,5,12,1.0,0.0,1,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Jay_Lozada,Jay Lozada,5,12,1.0,0.0,1,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Jay_Lozada,Jay Lozada,5,12,1.0,0.0,1,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Jay_Lozada,Jay Lozada,5,12,1.0,0.0,1,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/Jay_Lozada,Jay Lozada,5,12,1.0,0.0,1,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Jay_Lozada,Jay Lozada,5,12,1.0,0.0,1,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Jay_Lozada,Jay Lozada,5,12,1.0,0.0,1,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Jay_Lozada,Jay Lozada,5,12,1.0,0.0,1,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Jay_Lozada,Jay Lozada,5,12,1.0,0.0,1,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Jay_Lozada,Jay Lozada,5,12,1.0,0.0,1,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/Singer110599806,http://dbpedia.org/resource/Jay_Lozada,Jay Lozada,5,12,1.0,0.0,1,11,== Biography == | === Career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Jay_Lozada,Jay Lozada,5,12,1.0,0.0,1,11,== Biography == | === Career ===
