types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Marquess_of_Cholmondeley,Cholmondeley,101,66,0.5364077246634518,0.5883127509504082,0,54,== Musical style == | === Equipment setup ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Marquess_of_Cholmondeley,Cholmondeley,101,66,0.5364077246634518,0.5883127509504082,0,54,== Musical style == | === Equipment setup ===
http://dbpedia.org/class/yago/WikicatMarquessesInThePeerageOfTheUnitedKingdom,http://dbpedia.org/resource/Marquess_of_Cholmondeley,Cholmondeley,101,66,0.5364077246634518,0.5883127509504082,0,54,== Musical style == | === Equipment setup ===
http://dbpedia.org/class/yago/Aristocrat109807754,http://dbpedia.org/resource/Marquess_of_Cholmondeley,Cholmondeley,101,66,0.5364077246634518,0.5883127509504082,0,54,== Musical style == | === Equipment setup ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Marquess_of_Cholmondeley,Cholmondeley,101,66,0.5364077246634518,0.5883127509504082,0,54,== Musical style == | === Equipment setup ===
http://dbpedia.org/class/yago/Leader109623038,http://dbpedia.org/resource/Marquess_of_Cholmondeley,Cholmondeley,101,66,0.5364077246634518,0.5883127509504082,0,54,== Musical style == | === Equipment setup ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Marquess_of_Cholmondeley,Cholmondeley,101,66,0.5364077246634518,0.5883127509504082,0,54,== Musical style == | === Equipment setup ===
http://dbpedia.org/class/yago/MaleAristocrat110285135,http://dbpedia.org/resource/Marquess_of_Cholmondeley,Cholmondeley,101,66,0.5364077246634518,0.5883127509504082,0,54,== Musical style == | === Equipment setup ===
http://dbpedia.org/class/yago/Marquis110295479,http://dbpedia.org/resource/Marquess_of_Cholmondeley,Cholmondeley,101,66,0.5364077246634518,0.5883127509504082,0,54,== Musical style == | === Equipment setup ===
http://dbpedia.org/class/yago/Noble110271677,http://dbpedia.org/resource/Marquess_of_Cholmondeley,Cholmondeley,101,66,0.5364077246634518,0.5883127509504082,0,54,== Musical style == | === Equipment setup ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Marquess_of_Cholmondeley,Cholmondeley,101,66,0.5364077246634518,0.5883127509504082,0,54,== Musical style == | === Equipment setup ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Marquess_of_Cholmondeley,Cholmondeley,101,66,0.5364077246634518,0.5883127509504082,0,54,== Musical style == | === Equipment setup ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Marquess_of_Cholmondeley,Cholmondeley,101,66,0.5364077246634518,0.5883127509504082,0,54,== Musical style == | === Equipment setup ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Marquess_of_Cholmondeley,Cholmondeley,101,66,0.5364077246634518,0.5883127509504082,0,54,== Musical style == | === Equipment setup ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Marquess_of_Cholmondeley,Cholmondeley,101,66,0.5364077246634518,0.5883127509504082,0,54,== Musical style == | === Equipment setup ===
