types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/WikicatPeopleFromOpava,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/WikicatPeopleFromPrussia,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/WikicatPeopleFromRacibórz,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/WikicatPeopleOfTheRevolutionsOf1848,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/WikicatPrussianGenerals,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/WikicatPrussianPoliticians,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/Worker109632518,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/Absentee109757653,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/CommissionedMilitaryOfficer109943239,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/CommissionedOfficer109942970,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/Exile110071332,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/General110123844,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/GeneralOfficer110125786,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/Leader109623038,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
http://dbpedia.org/class/yago/MilitaryOfficer110317007,http://dbpedia.org/resource/Felix_Lichnowsky,Felix Lichnowsky,13,119,1.0,0.0,7,16,== Life == | === Later life ===
