types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Self-immolation,immolate,606,117,1.0,0.0,9,24,== 1969–1971: Murders and trial == | === Trial ===
http://dbpedia.org/ontology/Disease,http://dbpedia.org/resource/Self-immolation,immolate,606,117,1.0,0.0,9,24,== 1969–1971: Murders and trial == | === Trial ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Self-immolation,immolate,606,117,1.0,0.0,9,24,== 1969–1971: Murders and trial == | === Trial ===
http://dbpedia.org/class/yago/WikicatResistanceMovements,http://dbpedia.org/resource/Self-immolation,immolate,606,117,1.0,0.0,9,24,== 1969–1971: Murders and trial == | === Trial ===
http://dbpedia.org/class/yago/WikicatRituals,http://dbpedia.org/resource/Self-immolation,immolate,606,117,1.0,0.0,9,24,== 1969–1971: Murders and trial == | === Trial ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Self-immolation,immolate,606,117,1.0,0.0,9,24,== 1969–1971: Murders and trial == | === Trial ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Self-immolation,immolate,606,117,1.0,0.0,9,24,== 1969–1971: Murders and trial == | === Trial ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Self-immolation,immolate,606,117,1.0,0.0,9,24,== 1969–1971: Murders and trial == | === Trial ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/Self-immolation,immolate,606,117,1.0,0.0,9,24,== 1969–1971: Murders and trial == | === Trial ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Self-immolation,immolate,606,117,1.0,0.0,9,24,== 1969–1971: Murders and trial == | === Trial ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/Self-immolation,immolate,606,117,1.0,0.0,9,24,== 1969–1971: Murders and trial == | === Trial ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Self-immolation,immolate,606,117,1.0,0.0,9,24,== 1969–1971: Murders and trial == | === Trial ===
http://dbpedia.org/class/yago/Continuance101017987,http://dbpedia.org/resource/Self-immolation,immolate,606,117,1.0,0.0,9,24,== 1969–1971: Murders and trial == | === Trial ===
http://dbpedia.org/class/yago/Custom100413239,http://dbpedia.org/resource/Self-immolation,immolate,606,117,1.0,0.0,9,24,== 1969–1971: Murders and trial == | === Trial ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Self-immolation,immolate,606,117,1.0,0.0,9,24,== 1969–1971: Murders and trial == | === Trial ===
http://dbpedia.org/class/yago/Know-how105616786,http://dbpedia.org/resource/Self-immolation,immolate,606,117,1.0,0.0,9,24,== 1969–1971: Murders and trial == | === Trial ===
http://dbpedia.org/class/yago/Method105660268,http://dbpedia.org/resource/Self-immolation,immolate,606,117,1.0,0.0,9,24,== 1969–1971: Murders and trial == | === Trial ===
http://dbpedia.org/class/yago/Motion100331950,http://dbpedia.org/resource/Self-immolation,immolate,606,117,1.0,0.0,9,24,== 1969–1971: Murders and trial == | === Trial ===
http://dbpedia.org/class/yago/Practice100410247,http://dbpedia.org/resource/Self-immolation,immolate,606,117,1.0,0.0,9,24,== 1969–1971: Murders and trial == | === Trial ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Self-immolation,immolate,606,117,1.0,0.0,9,24,== 1969–1971: Murders and trial == | === Trial ===
http://dbpedia.org/class/yago/Ritual101027859,http://dbpedia.org/resource/Self-immolation,immolate,606,117,1.0,0.0,9,24,== 1969–1971: Murders and trial == | === Trial ===
http://dbpedia.org/class/yago/Survival101022178,http://dbpedia.org/resource/Self-immolation,immolate,606,117,1.0,0.0,9,24,== 1969–1971: Murders and trial == | === Trial ===
http://dbpedia.org/class/yago/WikicatSuicideMethods,http://dbpedia.org/resource/Self-immolation,immolate,606,117,1.0,0.0,9,24,== 1969–1971: Murders and trial == | === Trial ===
