types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Stop-and-frisk_in_New_York_City,stop-and-frisk policy,84,93,1.0,0.0,5,37,== Politics and activism == | === Activism ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Stop-and-frisk_in_New_York_City,stop-and-frisk policy,84,93,1.0,0.0,5,37,== Politics and activism == | === Activism ===
http://dbpedia.org/class/yago/WikicatLawEnforcementOperationsInTheUnitedStates,http://dbpedia.org/resource/Stop-and-frisk_in_New_York_City,stop-and-frisk policy,84,93,1.0,0.0,5,37,== Politics and activism == | === Activism ===
http://dbpedia.org/class/yago/WikicatSearchesAndSeizures,http://dbpedia.org/resource/Stop-and-frisk_in_New_York_City,stop-and-frisk policy,84,93,1.0,0.0,5,37,== Politics and activism == | === Activism ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Stop-and-frisk_in_New_York_City,stop-and-frisk policy,84,93,1.0,0.0,5,37,== Politics and activism == | === Activism ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Stop-and-frisk_in_New_York_City,stop-and-frisk policy,84,93,1.0,0.0,5,37,== Politics and activism == | === Activism ===
http://dbpedia.org/class/yago/Action114006945,http://dbpedia.org/resource/Stop-and-frisk_in_New_York_City,stop-and-frisk policy,84,93,1.0,0.0,5,37,== Politics and activism == | === Activism ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Stop-and-frisk_in_New_York_City,stop-and-frisk policy,84,93,1.0,0.0,5,37,== Politics and activism == | === Activism ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Stop-and-frisk_in_New_York_City,stop-and-frisk policy,84,93,1.0,0.0,5,37,== Politics and activism == | === Activism ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Stop-and-frisk_in_New_York_City,stop-and-frisk policy,84,93,1.0,0.0,5,37,== Politics and activism == | === Activism ===
http://dbpedia.org/class/yago/Operation114008806,http://dbpedia.org/resource/Stop-and-frisk_in_New_York_City,stop-and-frisk policy,84,93,1.0,0.0,5,37,== Politics and activism == | === Activism ===
http://dbpedia.org/class/yago/Practice100410247,http://dbpedia.org/resource/Stop-and-frisk_in_New_York_City,stop-and-frisk policy,84,93,1.0,0.0,5,37,== Politics and activism == | === Activism ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Stop-and-frisk_in_New_York_City,stop-and-frisk policy,84,93,1.0,0.0,5,37,== Politics and activism == | === Activism ===
http://dbpedia.org/class/yago/Search100945401,http://dbpedia.org/resource/Stop-and-frisk_in_New_York_City,stop-and-frisk policy,84,93,1.0,0.0,5,37,== Politics and activism == | === Activism ===
http://dbpedia.org/class/yago/State100024720,http://dbpedia.org/resource/Stop-and-frisk_in_New_York_City,stop-and-frisk policy,84,93,1.0,0.0,5,37,== Politics and activism == | === Activism ===
http://dbpedia.org/class/yago/WikicatEthicallyDisputedJudicialPractices,http://dbpedia.org/resource/Stop-and-frisk_in_New_York_City,stop-and-frisk policy,84,93,1.0,0.0,5,37,== Politics and activism == | === Activism ===
