types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/class/yago/WikicatHeadsOfState,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/class/yago/WikicatCommandersInChief,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/class/yago/Worker109632518,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/class/yago/WikicatMilitaryRanksOfItaly,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/class/yago/CommandingOfficer109941964,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/class/yago/HeadOfState110164747,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/class/yago/MilitaryOfficer110317007,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/class/yago/MilitaryRank114431471,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/class/yago/Negotiator110351874,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/class/yago/Rank114429985,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/class/yago/Representative110522035,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/class/yago/Serviceman110582746,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/class/yago/SkilledWorker110605985,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/class/yago/State100024720,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/class/yago/Status113945919,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Commander-in-chief,CINC,3696,157,0.9999999683755624,0.0,3,8,== Biography == | === Chicago ===
