types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/LiteraryComposition106364329,http://dbpedia.org/resource/Garrett_P.I.,Winger,476,0,0.9735468131393878,0.0249200073622784,0,18,== Biography == | === Classical music ===
http://dbpedia.org/class/yago/Novel106367879,http://dbpedia.org/resource/Garrett_P.I.,Winger,476,0,0.9735468131393878,0.0249200073622784,0,18,== Biography == | === Classical music ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Garrett_P.I.,Winger,476,0,0.9735468131393878,0.0249200073622784,0,18,== Biography == | === Classical music ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Garrett_P.I.,Winger,476,0,0.9735468131393878,0.0249200073622784,0,18,== Biography == | === Classical music ===
http://dbpedia.org/class/yago/DetectiveNovel106368142,http://dbpedia.org/resource/Garrett_P.I.,Winger,476,0,0.9735468131393878,0.0249200073622784,0,18,== Biography == | === Classical music ===
http://dbpedia.org/class/yago/Fiction106367107,http://dbpedia.org/resource/Garrett_P.I.,Winger,476,0,0.9735468131393878,0.0249200073622784,0,18,== Biography == | === Classical music ===
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/Garrett_P.I.,Winger,476,0,0.9735468131393878,0.0249200073622784,0,18,== Biography == | === Classical music ===
http://dbpedia.org/class/yago/WikicatAmericanFantasyNovels,http://dbpedia.org/resource/Garrett_P.I.,Winger,476,0,0.9735468131393878,0.0249200073622784,0,18,== Biography == | === Classical music ===
http://dbpedia.org/class/yago/WikicatAmericanMysteryNovelsBySeries,http://dbpedia.org/resource/Garrett_P.I.,Winger,476,0,0.9735468131393878,0.0249200073622784,0,18,== Biography == | === Classical music ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Garrett_P.I.,Winger,476,0,0.9735468131393878,0.0249200073622784,0,18,== Biography == | === Classical music ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Garrett_P.I.,Winger,476,0,0.9735468131393878,0.0249200073622784,0,18,== Biography == | === Classical music ===
