types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Vox_AC30,Vox AC-30,109,0,1.0,0.0,0,16,== Gear == | === Amps ===
http://dbpedia.org/class/yago/WikicatInstrumentAmplifiers,http://dbpedia.org/resource/Vox_AC30,Vox AC-30,109,0,1.0,0.0,0,16,== Gear == | === Amps ===
http://dbpedia.org/class/yago/WikicatValveAmplifiers,http://dbpedia.org/resource/Vox_AC30,Vox AC-30,109,0,1.0,0.0,0,16,== Gear == | === Amps ===
http://dbpedia.org/class/yago/Amplifier102705944,http://dbpedia.org/resource/Vox_AC30,Vox AC-30,109,0,1.0,0.0,0,16,== Gear == | === Amps ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Vox_AC30,Vox AC-30,109,0,1.0,0.0,0,16,== Gear == | === Amps ===
http://dbpedia.org/class/yago/ElectronicEquipment103278248,http://dbpedia.org/resource/Vox_AC30,Vox AC-30,109,0,1.0,0.0,0,16,== Gear == | === Amps ===
http://dbpedia.org/class/yago/Equipment103294048,http://dbpedia.org/resource/Vox_AC30,Vox AC-30,109,0,1.0,0.0,0,16,== Gear == | === Amps ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Vox_AC30,Vox AC-30,109,0,1.0,0.0,0,16,== Gear == | === Amps ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Vox_AC30,Vox AC-30,109,0,1.0,0.0,0,16,== Gear == | === Amps ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Vox_AC30,Vox AC-30,109,0,1.0,0.0,0,16,== Gear == | === Amps ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Vox_AC30,Vox AC-30,109,0,1.0,0.0,0,16,== Gear == | === Amps ===
