types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Princess_Grace_Irish_Library,Princess Grace Irish Library,6,122,1.0,0.0,12,26,== Biography == | === Tax exile ===
http://schema.org/EducationalOrganization,http://dbpedia.org/resource/Princess_Grace_Irish_Library,Princess Grace Irish Library,6,122,1.0,0.0,12,26,== Biography == | === Tax exile ===
http://schema.org/Library,http://dbpedia.org/resource/Princess_Grace_Irish_Library,Princess Grace Irish Library,6,122,1.0,0.0,12,26,== Biography == | === Tax exile ===
http://schema.org/Organization,http://dbpedia.org/resource/Princess_Grace_Irish_Library,Princess Grace Irish Library,6,122,1.0,0.0,12,26,== Biography == | === Tax exile ===
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,http://dbpedia.org/resource/Princess_Grace_Irish_Library,Princess Grace Irish Library,6,122,1.0,0.0,12,26,== Biography == | === Tax exile ===
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#SocialPerson,http://dbpedia.org/resource/Princess_Grace_Irish_Library,Princess Grace Irish Library,6,122,1.0,0.0,12,26,== Biography == | === Tax exile ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Princess_Grace_Irish_Library,Princess Grace Irish Library,6,122,1.0,0.0,12,26,== Biography == | === Tax exile ===
http://www.wikidata.org/entity/Q2385804,http://dbpedia.org/resource/Princess_Grace_Irish_Library,Princess Grace Irish Library,6,122,1.0,0.0,12,26,== Biography == | === Tax exile ===
http://www.wikidata.org/entity/Q24229398,http://dbpedia.org/resource/Princess_Grace_Irish_Library,Princess Grace Irish Library,6,122,1.0,0.0,12,26,== Biography == | === Tax exile ===
http://www.wikidata.org/entity/Q43229,http://dbpedia.org/resource/Princess_Grace_Irish_Library,Princess Grace Irish Library,6,122,1.0,0.0,12,26,== Biography == | === Tax exile ===
http://www.wikidata.org/entity/Q7075,http://dbpedia.org/resource/Princess_Grace_Irish_Library,Princess Grace Irish Library,6,122,1.0,0.0,12,26,== Biography == | === Tax exile ===
http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/resource/Princess_Grace_Irish_Library,Princess Grace Irish Library,6,122,1.0,0.0,12,26,== Biography == | === Tax exile ===
http://dbpedia.org/class/yago/WikicatLibrariesInMonaco,http://dbpedia.org/resource/Princess_Grace_Irish_Library,Princess Grace Irish Library,6,122,1.0,0.0,12,26,== Biography == | === Tax exile ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Princess_Grace_Irish_Library,Princess Grace Irish Library,6,122,1.0,0.0,12,26,== Biography == | === Tax exile ===
http://dbpedia.org/class/yago/Area102735688,http://dbpedia.org/resource/Princess_Grace_Irish_Library,Princess Grace Irish Library,6,122,1.0,0.0,12,26,== Biography == | === Tax exile ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Princess_Grace_Irish_Library,Princess Grace Irish Library,6,122,1.0,0.0,12,26,== Biography == | === Tax exile ===
http://dbpedia.org/class/yago/Library103660909,http://dbpedia.org/resource/Princess_Grace_Irish_Library,Princess Grace Irish Library,6,122,1.0,0.0,12,26,== Biography == | === Tax exile ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Princess_Grace_Irish_Library,Princess Grace Irish Library,6,122,1.0,0.0,12,26,== Biography == | === Tax exile ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Princess_Grace_Irish_Library,Princess Grace Irish Library,6,122,1.0,0.0,12,26,== Biography == | === Tax exile ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Princess_Grace_Irish_Library,Princess Grace Irish Library,6,122,1.0,0.0,12,26,== Biography == | === Tax exile ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Princess_Grace_Irish_Library,Princess Grace Irish Library,6,122,1.0,0.0,12,26,== Biography == | === Tax exile ===
http://dbpedia.org/ontology/Library,http://dbpedia.org/resource/Princess_Grace_Irish_Library,Princess Grace Irish Library,6,122,1.0,0.0,12,26,== Biography == | === Tax exile ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Princess_Grace_Irish_Library,Princess Grace Irish Library,6,122,1.0,0.0,12,26,== Biography == | === Tax exile ===
http://dbpedia.org/class/yago/Room104105893,http://dbpedia.org/resource/Princess_Grace_Irish_Library,Princess Grace Irish Library,6,122,1.0,0.0,12,26,== Biography == | === Tax exile ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Princess_Grace_Irish_Library,Princess Grace Irish Library,6,122,1.0,0.0,12,26,== Biography == | === Tax exile ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Princess_Grace_Irish_Library,Princess Grace Irish Library,6,122,1.0,0.0,12,26,== Biography == | === Tax exile ===
