types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Jahtari,Jahtari,5,67,1.0,0.0,0,20,== Musical projects == | === Black Chow ===
http://dbpedia.org/ontology/RecordLabel,http://dbpedia.org/resource/Jahtari,Jahtari,5,67,1.0,0.0,0,20,== Musical projects == | === Black Chow ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Jahtari,Jahtari,5,67,1.0,0.0,0,20,== Musical projects == | === Black Chow ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Jahtari,Jahtari,5,67,1.0,0.0,0,20,== Musical projects == | === Black Chow ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Jahtari,Jahtari,5,67,1.0,0.0,0,20,== Musical projects == | === Black Chow ===
http://dbpedia.org/class/yago/WikicatReggaeRecordLabels,http://dbpedia.org/resource/Jahtari,Jahtari,5,67,1.0,0.0,0,20,== Musical projects == | === Black Chow ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Jahtari,Jahtari,5,67,1.0,0.0,0,20,== Musical projects == | === Black Chow ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/Jahtari,Jahtari,5,67,1.0,0.0,0,20,== Musical projects == | === Black Chow ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Jahtari,Jahtari,5,67,1.0,0.0,0,20,== Musical projects == | === Black Chow ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Jahtari,Jahtari,5,67,1.0,0.0,0,20,== Musical projects == | === Black Chow ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Jahtari,Jahtari,5,67,1.0,0.0,0,20,== Musical projects == | === Black Chow ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Jahtari,Jahtari,5,67,1.0,0.0,0,20,== Musical projects == | === Black Chow ===
http://dbpedia.org/class/yago/WikicatElectronicMusicRecordLabels,http://dbpedia.org/resource/Jahtari,Jahtari,5,67,1.0,0.0,0,20,== Musical projects == | === Black Chow ===
http://dbpedia.org/class/yago/WikicatGermanRecordLabels,http://dbpedia.org/resource/Jahtari,Jahtari,5,67,1.0,0.0,0,20,== Musical projects == | === Black Chow ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Cody_and_Dustin_Rhodes,The Brotherhood,577,0,0.725383901555914,0.3713043704034401,0,42,== Partial discography == | === Techno Animal ===
