types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/USASA_Field_Station_Augsburg,USASA Field Station Augsburg,7,122,1.0,0.0,8,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/Intelligence108339454,http://dbpedia.org/resource/USASA_Field_Station_Augsburg,USASA Field Station Augsburg,7,122,1.0,0.0,8,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/USASA_Field_Station_Augsburg,USASA Field Station Augsburg,7,122,1.0,0.0,8,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/USASA_Field_Station_Augsburg,USASA Field Station Augsburg,7,122,1.0,0.0,8,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/AdministrativeUnit108077292,http://dbpedia.org/resource/USASA_Field_Station_Augsburg,USASA Field Station Augsburg,7,122,1.0,0.0,8,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/USASA_Field_Station_Augsburg,USASA Field Station Augsburg,7,122,1.0,0.0,8,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/WikicatGermanIntelligenceAgencies,http://dbpedia.org/resource/USASA_Field_Station_Augsburg,USASA Field Station Augsburg,7,122,1.0,0.0,8,16,== Marriage and early years == | === Military career ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/USASA_Field_Station_Augsburg,USASA Field Station Augsburg,7,122,1.0,0.0,8,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/WikicatUnitedStatesIntelligenceAgencies,http://dbpedia.org/resource/USASA_Field_Station_Augsburg,USASA Field Station Augsburg,7,122,1.0,0.0,8,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/USASA_Field_Station_Augsburg,USASA Field Station Augsburg,7,122,1.0,0.0,8,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/Unit108189659,http://dbpedia.org/resource/USASA_Field_Station_Augsburg,USASA Field Station Augsburg,7,122,1.0,0.0,8,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/USASA_Field_Station_Augsburg,USASA Field Station Augsburg,7,122,1.0,0.0,8,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/USASA_Field_Station_Augsburg,USASA Field Station Augsburg,7,122,1.0,0.0,8,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/USASA_Field_Station_Augsburg,USASA Field Station Augsburg,7,122,1.0,0.0,8,16,== Marriage and early years == | === Military career ===
