types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Digerati,digerati,24,33,0.9999999999996304,0.0,11,9,== Career == | === Internet activism ===
http://dbpedia.org/class/yago/Word106286395,http://dbpedia.org/resource/Digerati,digerati,24,33,0.9999999999996304,0.0,11,9,== Career == | === Internet activism ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Digerati,digerati,24,33,0.9999999999996304,0.0,11,9,== Career == | === Internet activism ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Digerati,digerati,24,33,0.9999999999996304,0.0,11,9,== Career == | === Internet activism ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Digerati,digerati,24,33,0.9999999999996304,0.0,11,9,== Career == | === Internet activism ===
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Digerati,digerati,24,33,0.9999999999996304,0.0,11,9,== Career == | === Internet activism ===
http://dbpedia.org/class/yago/FictionalCharacter109587565,http://dbpedia.org/resource/Digerati,digerati,24,33,0.9999999999996304,0.0,11,9,== Career == | === Internet activism ===
http://dbpedia.org/class/yago/ImaginaryBeing109483738,http://dbpedia.org/resource/Digerati,digerati,24,33,0.9999999999996304,0.0,11,9,== Career == | === Internet activism ===
http://dbpedia.org/class/yago/Imagination105625465,http://dbpedia.org/resource/Digerati,digerati,24,33,0.9999999999996304,0.0,11,9,== Career == | === Internet activism ===
http://dbpedia.org/class/yago/LanguageUnit106284225,http://dbpedia.org/resource/Digerati,digerati,24,33,0.9999999999996304,0.0,11,9,== Career == | === Internet activism ===
http://dbpedia.org/class/yago/Neologism106294441,http://dbpedia.org/resource/Digerati,digerati,24,33,0.9999999999996304,0.0,11,9,== Career == | === Internet activism ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Digerati,digerati,24,33,0.9999999999996304,0.0,11,9,== Career == | === Internet activism ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Digerati,digerati,24,33,0.9999999999996304,0.0,11,9,== Career == | === Internet activism ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Digerati,digerati,24,33,0.9999999999996304,0.0,11,9,== Career == | === Internet activism ===
http://dbpedia.org/class/yago/WikicatNeologisms,http://dbpedia.org/resource/Digerati,digerati,24,33,0.9999999999996304,0.0,11,9,== Career == | === Internet activism ===
http://dbpedia.org/class/yago/WikicatStockCharacters,http://dbpedia.org/resource/Digerati,digerati,24,33,0.9999999999996304,0.0,11,9,== Career == | === Internet activism ===
