types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatHouseholdBrands,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/WikicatHouseholdChemicals,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/WikicatInternetMemes,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/WikicatBritishMaleTelevisionActors,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/WikicatMaleActorsFromLondon,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/WikicatReckittBenckiserBrands,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/Acculturation105984936,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/Actor109765278,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/Chemical114806838,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/LanguageUnit106284225,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/Material114580897,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/Matter100020827,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/Meme105985126,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/Name106333653,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/Substance100019613,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/TradeName106845599,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Cillit_Bang,Cillit Bang,35,53,1.0,0.0,3,7,== Career == | === Early remixes ===
