types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Megatron,Galvatron,2203,94,1.0,0.0,4,26,== Acting career == | ==== Special appearances ====
http://dbpedia.org/class/yago/WikicatAnimatedCharacters,http://dbpedia.org/resource/Megatron,Galvatron,2203,94,1.0,0.0,4,26,== Acting career == | ==== Special appearances ====
http://dbpedia.org/ontology/FictionalCharacter,http://dbpedia.org/resource/Megatron,Galvatron,2203,94,1.0,0.0,4,26,== Acting career == | ==== Special appearances ====
http://dbpedia.org/class/yago/WikicatRoboticDragons,http://dbpedia.org/resource/Megatron,Galvatron,2203,94,1.0,0.0,4,26,== Acting career == | ==== Special appearances ====
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Megatron,Galvatron,2203,94,1.0,0.0,4,26,== Acting career == | ==== Special appearances ====
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Megatron,Galvatron,2203,94,1.0,0.0,4,26,== Acting career == | ==== Special appearances ====
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Megatron,Galvatron,2203,94,1.0,0.0,4,26,== Acting career == | ==== Special appearances ====
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Megatron,Galvatron,2203,94,1.0,0.0,4,26,== Acting career == | ==== Special appearances ====
http://dbpedia.org/class/yago/Dragon109494388,http://dbpedia.org/resource/Megatron,Galvatron,2203,94,1.0,0.0,4,26,== Acting career == | ==== Special appearances ====
http://dbpedia.org/class/yago/FictionalCharacter109587565,http://dbpedia.org/resource/Megatron,Galvatron,2203,94,1.0,0.0,4,26,== Acting career == | ==== Special appearances ====
http://dbpedia.org/class/yago/ImaginaryBeing109483738,http://dbpedia.org/resource/Megatron,Galvatron,2203,94,1.0,0.0,4,26,== Acting career == | ==== Special appearances ====
http://dbpedia.org/class/yago/Imagination105625465,http://dbpedia.org/resource/Megatron,Galvatron,2203,94,1.0,0.0,4,26,== Acting career == | ==== Special appearances ====
http://dbpedia.org/class/yago/Monster109491966,http://dbpedia.org/resource/Megatron,Galvatron,2203,94,1.0,0.0,4,26,== Acting career == | ==== Special appearances ====
http://dbpedia.org/class/yago/MythicalBeing109484664,http://dbpedia.org/resource/Megatron,Galvatron,2203,94,1.0,0.0,4,26,== Acting career == | ==== Special appearances ====
http://dbpedia.org/class/yago/MythicalMonster109492123,http://dbpedia.org/resource/Megatron,Galvatron,2203,94,1.0,0.0,4,26,== Acting career == | ==== Special appearances ====
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Megatron,Galvatron,2203,94,1.0,0.0,4,26,== Acting career == | ==== Special appearances ====
http://dbpedia.org/class/yago/WikicatFictionalCharactersIntroducedIn1984,http://dbpedia.org/resource/Megatron,Galvatron,2203,94,1.0,0.0,4,26,== Acting career == | ==== Special appearances ====
http://dbpedia.org/class/yago/WikicatFunPublicationsCharacters,http://dbpedia.org/resource/Megatron,Galvatron,2203,94,1.0,0.0,4,26,== Acting career == | ==== Special appearances ====
http://dbpedia.org/class/yago/WikicatTransformersCharacters,http://dbpedia.org/resource/Megatron,Galvatron,2203,94,1.0,0.0,4,26,== Acting career == | ==== Special appearances ====
http://dbpedia.org/class/yago/WikicatTransformersCharactersInVideoGames,http://dbpedia.org/resource/Megatron,Galvatron,2203,94,1.0,0.0,4,26,== Acting career == | ==== Special appearances ====
