types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Fighting_game,fighting video game,3525,101,1.0,0.0,0,21,== Biography == | === 2010s ===
http://dbpedia.org/class/yago/WikicatVideoGameGenres,http://dbpedia.org/resource/Fighting_game,fighting video game,3525,101,1.0,0.0,0,21,== Biography == | === 2010s ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Fighting_game,fighting video game,3525,101,1.0,0.0,0,21,== Biography == | === 2010s ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Fighting_game,fighting video game,3525,101,1.0,0.0,0,21,== Biography == | === 2010s ===
http://dbpedia.org/class/yago/Category105838765,http://dbpedia.org/resource/Fighting_game,fighting video game,3525,101,1.0,0.0,0,21,== Biography == | === 2010s ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Fighting_game,fighting video game,3525,101,1.0,0.0,0,21,== Biography == | === 2010s ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Fighting_game,fighting video game,3525,101,1.0,0.0,0,21,== Biography == | === 2010s ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Fighting_game,fighting video game,3525,101,1.0,0.0,0,21,== Biography == | === 2010s ===
http://dbpedia.org/class/yago/Contest107456188,http://dbpedia.org/resource/Fighting_game,fighting video game,3525,101,1.0,0.0,0,21,== Biography == | === 2010s ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Fighting_game,fighting video game,3525,101,1.0,0.0,0,21,== Biography == | === 2010s ===
http://dbpedia.org/class/yago/Game100456199,http://dbpedia.org/resource/Fighting_game,fighting video game,3525,101,1.0,0.0,0,21,== Biography == | === 2010s ===
http://dbpedia.org/class/yago/Genre105845332,http://dbpedia.org/resource/Fighting_game,fighting video game,3525,101,1.0,0.0,0,21,== Biography == | === 2010s ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Fighting_game,fighting video game,3525,101,1.0,0.0,0,21,== Biography == | === 2010s ===
http://dbpedia.org/class/yago/Kind105839024,http://dbpedia.org/resource/Fighting_game,fighting video game,3525,101,1.0,0.0,0,21,== Biography == | === 2010s ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Fighting_game,fighting video game,3525,101,1.0,0.0,0,21,== Biography == | === 2010s ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Fighting_game,fighting video game,3525,101,1.0,0.0,0,21,== Biography == | === 2010s ===
http://dbpedia.org/class/yago/WikicatFightingGames,http://dbpedia.org/resource/Fighting_game,fighting video game,3525,101,1.0,0.0,0,21,== Biography == | === 2010s ===
