types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatEatingUtensils,http://dbpedia.org/resource/Spork,Spork,84,5,0.9999994734129382,4.581596861126514e-07,0,13,== Discography == | === As leader/co-leader ===
http://dbpedia.org/class/yago/Article100022903,http://dbpedia.org/resource/Spork,Spork,84,5,0.9999994734129382,4.581596861126514e-07,0,13,== Discography == | === As leader/co-leader ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Spork,Spork,84,5,0.9999994734129382,4.581596861126514e-07,0,13,== Discography == | === As leader/co-leader ===
http://dbpedia.org/class/yago/Container103094503,http://dbpedia.org/resource/Spork,Spork,84,5,0.9999994734129382,4.581596861126514e-07,0,13,== Discography == | === As leader/co-leader ===
http://dbpedia.org/class/yago/Cutlery103153375,http://dbpedia.org/resource/Spork,Spork,84,5,0.9999994734129382,4.581596861126514e-07,0,13,== Discography == | === As leader/co-leader ===
http://dbpedia.org/class/yago/Fork103383948,http://dbpedia.org/resource/Spork,Spork,84,5,0.9999994734129382,4.581596861126514e-07,0,13,== Discography == | === As leader/co-leader ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Spork,Spork,84,5,0.9999994734129382,4.581596861126514e-07,0,13,== Discography == | === As leader/co-leader ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Spork,Spork,84,5,0.9999994734129382,4.581596861126514e-07,0,13,== Discography == | === As leader/co-leader ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Spork,Spork,84,5,0.9999994734129382,4.581596861126514e-07,0,13,== Discography == | === As leader/co-leader ===
http://dbpedia.org/class/yago/Spoon104284002,http://dbpedia.org/resource/Spork,Spork,84,5,0.9999994734129382,4.581596861126514e-07,0,13,== Discography == | === As leader/co-leader ===
http://dbpedia.org/class/yago/Tableware104381994,http://dbpedia.org/resource/Spork,Spork,84,5,0.9999994734129382,4.581596861126514e-07,0,13,== Discography == | === As leader/co-leader ===
http://dbpedia.org/class/yago/Ware104550840,http://dbpedia.org/resource/Spork,Spork,84,5,0.9999994734129382,4.581596861126514e-07,0,13,== Discography == | === As leader/co-leader ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Spork,Spork,84,5,0.9999994734129382,4.581596861126514e-07,0,13,== Discography == | === As leader/co-leader ===
http://dbpedia.org/class/yago/WikicatForks,http://dbpedia.org/resource/Spork,Spork,84,5,0.9999994734129382,4.581596861126514e-07,0,13,== Discography == | === As leader/co-leader ===
http://dbpedia.org/class/yago/WikicatSpoons,http://dbpedia.org/resource/Spork,Spork,84,5,0.9999994734129382,4.581596861126514e-07,0,13,== Discography == | === As leader/co-leader ===
