types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatActsOfTheParliamentOfTheUnitedKingdom,http://dbpedia.org/resource/Poor_Law_Amendment_Act_1834,Poor Law Amendment Act,398,109,1.0,0.0,2,14,== Biography == | === Westminster Review ===
http://dbpedia.org/class/yago/WikicatActsOfTheParliamentOfTheUnitedKingdomConcerningEnglandAndWales,http://dbpedia.org/resource/Poor_Law_Amendment_Act_1834,Poor Law Amendment Act,398,109,1.0,0.0,2,14,== Biography == | === Westminster Review ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Poor_Law_Amendment_Act_1834,Poor Law Amendment Act,398,109,1.0,0.0,2,14,== Biography == | === Westminster Review ===
http://dbpedia.org/class/yago/WikicatUnitedKingdomActsOfParliament1834,http://dbpedia.org/resource/Poor_Law_Amendment_Act_1834,Poor Law Amendment Act,398,109,1.0,0.0,2,14,== Biography == | === Westminster Review ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Poor_Law_Amendment_Act_1834,Poor Law Amendment Act,398,109,1.0,0.0,2,14,== Biography == | === Westminster Review ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Poor_Law_Amendment_Act_1834,Poor Law Amendment Act,398,109,1.0,0.0,2,14,== Biography == | === Westminster Review ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Poor_Law_Amendment_Act_1834,Poor Law Amendment Act,398,109,1.0,0.0,2,14,== Biography == | === Westminster Review ===
http://dbpedia.org/class/yago/Act106532095,http://dbpedia.org/resource/Poor_Law_Amendment_Act_1834,Poor Law Amendment Act,398,109,1.0,0.0,2,14,== Biography == | === Westminster Review ===
http://dbpedia.org/class/yago/CivilLaw108453464,http://dbpedia.org/resource/Poor_Law_Amendment_Act_1834,Poor Law Amendment Act,398,109,1.0,0.0,2,14,== Biography == | === Westminster Review ===
http://dbpedia.org/class/yago/Collection107951464,http://dbpedia.org/resource/Poor_Law_Amendment_Act_1834,Poor Law Amendment Act,398,109,1.0,0.0,2,14,== Biography == | === Westminster Review ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Poor_Law_Amendment_Act_1834,Poor Law Amendment Act,398,109,1.0,0.0,2,14,== Biography == | === Westminster Review ===
http://dbpedia.org/class/yago/Document106470073,http://dbpedia.org/resource/Poor_Law_Amendment_Act_1834,Poor Law Amendment Act,398,109,1.0,0.0,2,14,== Biography == | === Westminster Review ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Poor_Law_Amendment_Act_1834,Poor Law Amendment Act,398,109,1.0,0.0,2,14,== Biography == | === Westminster Review ===
http://dbpedia.org/class/yago/Law106532330,http://dbpedia.org/resource/Poor_Law_Amendment_Act_1834,Poor Law Amendment Act,398,109,1.0,0.0,2,14,== Biography == | === Westminster Review ===
http://dbpedia.org/class/yago/Law108441203,http://dbpedia.org/resource/Poor_Law_Amendment_Act_1834,Poor Law Amendment Act,398,109,1.0,0.0,2,14,== Biography == | === Westminster Review ===
http://dbpedia.org/class/yago/LegalDocument106479665,http://dbpedia.org/resource/Poor_Law_Amendment_Act_1834,Poor Law Amendment Act,398,109,1.0,0.0,2,14,== Biography == | === Westminster Review ===
http://dbpedia.org/class/yago/Legislation106535222,http://dbpedia.org/resource/Poor_Law_Amendment_Act_1834,Poor Law Amendment Act,398,109,1.0,0.0,2,14,== Biography == | === Westminster Review ===
http://dbpedia.org/class/yago/PoorLaw106538785,http://dbpedia.org/resource/Poor_Law_Amendment_Act_1834,Poor Law Amendment Act,398,109,1.0,0.0,2,14,== Biography == | === Westminster Review ===
http://dbpedia.org/class/yago/WikicatEnglishPoorLaws,http://dbpedia.org/resource/Poor_Law_Amendment_Act_1834,Poor Law Amendment Act,398,109,1.0,0.0,2,14,== Biography == | === Westminster Review ===
