types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/resource/Promised_Land,Promised land,518,0,1.0,0.0,1,130,== Filmography == | === TV ===
http://dbpedia.org/class/yago/WikicatHistoricalRegions,http://dbpedia.org/resource/Promised_Land,Promised land,518,0,1.0,0.0,1,130,== Filmography == | === TV ===
http://dbpedia.org/class/yago/WikicatJewishHolyPlaces,http://dbpedia.org/resource/Promised_Land,Promised land,518,0,1.0,0.0,1,130,== Filmography == | === TV ===
http://dbpedia.org/class/yago/WikicatBiblicalPlaces,http://dbpedia.org/resource/Promised_Land,Promised land,518,0,1.0,0.0,1,130,== Filmography == | === TV ===
http://dbpedia.org/class/yago/WikicatDividedRegions,http://dbpedia.org/resource/Promised_Land,Promised land,518,0,1.0,0.0,1,130,== Filmography == | === TV ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Promised_Land,Promised land,518,0,1.0,0.0,1,130,== Filmography == | === TV ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Promised_Land,Promised land,518,0,1.0,0.0,1,130,== Filmography == | === TV ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Promised_Land,Promised land,518,0,1.0,0.0,1,130,== Filmography == | === TV ===
http://dbpedia.org/class/yago/WikicatRegions,http://dbpedia.org/resource/Promised_Land,Promised land,518,0,1.0,0.0,1,130,== Filmography == | === TV ===
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/Promised_Land,Promised land,518,0,1.0,0.0,1,130,== Filmography == | === TV ===
http://dbpedia.org/class/yago/HolyPlace108585056,http://dbpedia.org/resource/Promised_Land,Promised land,518,0,1.0,0.0,1,130,== Filmography == | === TV ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Promised_Land,Promised land,518,0,1.0,0.0,1,130,== Filmography == | === TV ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Promised_Land,Promised land,518,0,1.0,0.0,1,130,== Filmography == | === TV ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Promised_Land,Promised land,518,0,1.0,0.0,1,130,== Filmography == | === TV ===
http://dbpedia.org/class/yago/Point108620061,http://dbpedia.org/resource/Promised_Land,Promised land,518,0,1.0,0.0,1,130,== Filmography == | === TV ===
http://dbpedia.org/class/yago/Region108630039,http://dbpedia.org/resource/Promised_Land,Promised land,518,0,1.0,0.0,1,130,== Filmography == | === TV ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Promised_Land,Promised land,518,0,1.0,0.0,1,130,== Filmography == | === TV ===
http://dbpedia.org/class/yago/Site108651247,http://dbpedia.org/resource/Promised_Land,Promised land,518,0,1.0,0.0,1,130,== Filmography == | === TV ===
http://dbpedia.org/class/yago/TopographicPoint108664443,http://dbpedia.org/resource/Promised_Land,Promised land,518,0,1.0,0.0,1,130,== Filmography == | === TV ===
http://dbpedia.org/class/yago/Tract108673395,http://dbpedia.org/resource/Promised_Land,Promised land,518,0,1.0,0.0,1,130,== Filmography == | === TV ===
