types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatHistoricalScientificInstruments,http://dbpedia.org/resource/Leyden_jar,Leyden jars,211,96,1.0,0.0,8,71,== Inventions and scientific inquiries == | === Electricity ===
http://dbpedia.org/ontology/Device,http://dbpedia.org/resource/Leyden_jar,Leyden jars,211,96,1.0,0.0,8,71,== Inventions and scientific inquiries == | === Electricity ===
http://dbpedia.org/class/yago/WikicatBottles,http://dbpedia.org/resource/Leyden_jar,Leyden jars,211,96,1.0,0.0,8,71,== Inventions and scientific inquiries == | === Electricity ===
http://dbpedia.org/class/yago/WikicatCapacitors,http://dbpedia.org/resource/Leyden_jar,Leyden jars,211,96,1.0,0.0,8,71,== Inventions and scientific inquiries == | === Electricity ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Leyden_jar,Leyden jars,211,96,1.0,0.0,8,71,== Inventions and scientific inquiries == | === Electricity ===
http://dbpedia.org/class/yago/Bottle102876657,http://dbpedia.org/resource/Leyden_jar,Leyden jars,211,96,1.0,0.0,8,71,== Inventions and scientific inquiries == | === Electricity ===
http://dbpedia.org/class/yago/Capacitor102955247,http://dbpedia.org/resource/Leyden_jar,Leyden jars,211,96,1.0,0.0,8,71,== Inventions and scientific inquiries == | === Electricity ===
http://dbpedia.org/class/yago/Container103094503,http://dbpedia.org/resource/Leyden_jar,Leyden jars,211,96,1.0,0.0,8,71,== Inventions and scientific inquiries == | === Electricity ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Leyden_jar,Leyden jars,211,96,1.0,0.0,8,71,== Inventions and scientific inquiries == | === Electricity ===
http://dbpedia.org/class/yago/ElectricalDevice103269401,http://dbpedia.org/resource/Leyden_jar,Leyden jars,211,96,1.0,0.0,8,71,== Inventions and scientific inquiries == | === Electricity ===
http://dbpedia.org/class/yago/Instrument103574816,http://dbpedia.org/resource/Leyden_jar,Leyden jars,211,96,1.0,0.0,8,71,== Inventions and scientific inquiries == | === Electricity ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Leyden_jar,Leyden jars,211,96,1.0,0.0,8,71,== Inventions and scientific inquiries == | === Electricity ===
http://dbpedia.org/class/yago/Jar103593526,http://dbpedia.org/resource/Leyden_jar,Leyden jars,211,96,1.0,0.0,8,71,== Inventions and scientific inquiries == | === Electricity ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Leyden_jar,Leyden jars,211,96,1.0,0.0,8,71,== Inventions and scientific inquiries == | === Electricity ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Leyden_jar,Leyden jars,211,96,1.0,0.0,8,71,== Inventions and scientific inquiries == | === Electricity ===
http://dbpedia.org/class/yago/ScientificInstrument104147495,http://dbpedia.org/resource/Leyden_jar,Leyden jars,211,96,1.0,0.0,8,71,== Inventions and scientific inquiries == | === Electricity ===
http://dbpedia.org/class/yago/Vessel104531098,http://dbpedia.org/resource/Leyden_jar,Leyden jars,211,96,1.0,0.0,8,71,== Inventions and scientific inquiries == | === Electricity ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Leyden_jar,Leyden jars,211,96,1.0,0.0,8,71,== Inventions and scientific inquiries == | === Electricity ===
http://dbpedia.org/class/yago/WikicatGlassJars,http://dbpedia.org/resource/Leyden_jar,Leyden jars,211,96,1.0,0.0,8,71,== Inventions and scientific inquiries == | === Electricity ===
