types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Charlotte_Square,Charlotte Square,236,137,0.9999999999998296,0.0,1,6,== Life and career == | === Early career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Charlotte_Square,Charlotte Square,236,137,0.9999999999998296,0.0,1,6,== Life and career == | === Early career ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Charlotte_Square,Charlotte Square,236,137,0.9999999999998296,0.0,1,6,== Life and career == | === Early career ===
http://dbpedia.org/class/yago/Building102913152,http://dbpedia.org/resource/Charlotte_Square,Charlotte Square,236,137,0.9999999999998296,0.0,1,6,== Life and career == | === Early career ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Charlotte_Square,Charlotte Square,236,137,0.9999999999998296,0.0,1,6,== Life and career == | === Early career ===
http://dbpedia.org/class/yago/WikicatCategoryAListedBuildingsInEdinburgh,http://dbpedia.org/resource/Charlotte_Square,Charlotte Square,236,137,0.9999999999998296,0.0,1,6,== Life and career == | === Early career ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Charlotte_Square,Charlotte Square,236,137,0.9999999999998296,0.0,1,6,== Life and career == | === Early career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Charlotte_Square,Charlotte Square,236,137,0.9999999999998296,0.0,1,6,== Life and career == | === Early career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Charlotte_Square,Charlotte Square,236,137,0.9999999999998296,0.0,1,6,== Life and career == | === Early career ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Charlotte_Square,Charlotte Square,236,137,0.9999999999998296,0.0,1,6,== Life and career == | === Early career ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Charlotte_Square,Charlotte Square,236,137,0.9999999999998296,0.0,1,6,== Life and career == | === Early career ===
