types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Rattle_(percussion_instrument),seed rattles,212,140,0.9999995471882132,0.0,5,7,== Biography == | === Musical style ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Rattle_(percussion_instrument),seed rattles,212,140,0.9999995471882132,0.0,5,7,== Biography == | === Musical style ===
http://dbpedia.org/class/yago/WikicatPercussionInstruments,http://dbpedia.org/resource/Rattle_(percussion_instrument),seed rattles,212,140,0.9999995471882132,0.0,5,7,== Biography == | === Musical style ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Rattle_(percussion_instrument),seed rattles,212,140,0.9999995471882132,0.0,5,7,== Biography == | === Musical style ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Rattle_(percussion_instrument),seed rattles,212,140,0.9999995471882132,0.0,5,7,== Biography == | === Musical style ===
http://dbpedia.org/class/yago/Implement103563967,http://dbpedia.org/resource/Rattle_(percussion_instrument),seed rattles,212,140,0.9999995471882132,0.0,5,7,== Biography == | === Musical style ===
http://dbpedia.org/class/yago/Instrument103574816,http://dbpedia.org/resource/Rattle_(percussion_instrument),seed rattles,212,140,0.9999995471882132,0.0,5,7,== Biography == | === Musical style ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Rattle_(percussion_instrument),seed rattles,212,140,0.9999995471882132,0.0,5,7,== Biography == | === Musical style ===
http://dbpedia.org/class/yago/MusicalInstrument103800933,http://dbpedia.org/resource/Rattle_(percussion_instrument),seed rattles,212,140,0.9999995471882132,0.0,5,7,== Biography == | === Musical style ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Rattle_(percussion_instrument),seed rattles,212,140,0.9999995471882132,0.0,5,7,== Biography == | === Musical style ===
http://dbpedia.org/class/yago/PercussionInstrument103915437,http://dbpedia.org/resource/Rattle_(percussion_instrument),seed rattles,212,140,0.9999995471882132,0.0,5,7,== Biography == | === Musical style ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Rattle_(percussion_instrument),seed rattles,212,140,0.9999995471882132,0.0,5,7,== Biography == | === Musical style ===
http://dbpedia.org/class/yago/Plaything103964744,http://dbpedia.org/resource/Rattle_(percussion_instrument),seed rattles,212,140,0.9999995471882132,0.0,5,7,== Biography == | === Musical style ===
http://dbpedia.org/class/yago/Tool104451818,http://dbpedia.org/resource/Rattle_(percussion_instrument),seed rattles,212,140,0.9999995471882132,0.0,5,7,== Biography == | === Musical style ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Rattle_(percussion_instrument),seed rattles,212,140,0.9999995471882132,0.0,5,7,== Biography == | === Musical style ===
http://dbpedia.org/class/yago/WikicatSwissMusicalInstruments,http://dbpedia.org/resource/Rattle_(percussion_instrument),seed rattles,212,140,0.9999995471882132,0.0,5,7,== Biography == | === Musical style ===
http://dbpedia.org/class/yago/WikicatTools,http://dbpedia.org/resource/Rattle_(percussion_instrument),seed rattles,212,140,0.9999995471882132,0.0,5,7,== Biography == | === Musical style ===
http://dbpedia.org/class/yago/WikicatToyInstruments,http://dbpedia.org/resource/Rattle_(percussion_instrument),seed rattles,212,140,0.9999995471882132,0.0,5,7,== Biography == | === Musical style ===
http://dbpedia.org/class/yago/WikicatToys,http://dbpedia.org/resource/Rattle_(percussion_instrument),seed rattles,212,140,0.9999995471882132,0.0,5,7,== Biography == | === Musical style ===
