types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatArtMovements,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
http://dbpedia.org/class/yago/WikicatIdeologies,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
http://dbpedia.org/class/yago/WikicatLiteraryCircles,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
http://dbpedia.org/class/yago/WikicatLiteraryMovements,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
http://dbpedia.org/class/yago/ArtisticMovement108466643,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
http://dbpedia.org/class/yago/Attitude106193203,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
http://dbpedia.org/class/yago/Circle113873502,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
http://dbpedia.org/class/yago/ConicSection113872975,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
http://dbpedia.org/class/yago/Ellipse113878306,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
http://dbpedia.org/class/yago/Figure113862780,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
http://dbpedia.org/class/yago/Motion100331950,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
http://dbpedia.org/class/yago/Movement108464601,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
http://dbpedia.org/class/yago/Orientation106208021,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
http://dbpedia.org/class/yago/PlaneFigure113863186,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
http://dbpedia.org/class/yago/PoliticalOrientation106212839,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
http://dbpedia.org/class/yago/Shape100027807,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Lettrism,Lettrism,152,128,0.999999992738509,7.261489745499782e-09,12,57,== Legacy == | === Influence ===
