types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Angel_Bat_Dawid,Angel Bat Dawid,6,13,1.0,0.0,1,36,== Discography == | === Guest appearances ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Black_to_the_Future,Black To The Future,13,36,0.9999920203633276,7.97970033407504e-06,1,36,== Discography == | === Guest appearances ===
http://dbpedia.org/ontology/Work,http://dbpedia.org/resource/Black_to_the_Future,Black To The Future,13,36,0.9999920203633276,7.97970033407504e-06,1,36,== Discography == | === Guest appearances ===
