types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Altar_call,altar,52,14,0.9971332732071309,0.0028736691518943,3,16,== Biography == | === Metropolitan Tabernacle ===
http://dbpedia.org/class/yago/WikicatChristianMissions,http://dbpedia.org/resource/Altar_call,altar,52,14,0.9971332732071309,0.0028736691518943,3,16,== Biography == | === Metropolitan Tabernacle ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Altar_call,altar,52,14,0.9971332732071309,0.0028736691518943,3,16,== Biography == | === Metropolitan Tabernacle ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Altar_call,altar,52,14,0.9971332732071309,0.0028736691518943,3,16,== Biography == | === Metropolitan Tabernacle ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Altar_call,altar,52,14,0.9971332732071309,0.0028736691518943,3,16,== Biography == | === Metropolitan Tabernacle ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Altar_call,altar,52,14,0.9971332732071309,0.0028736691518943,3,16,== Biography == | === Metropolitan Tabernacle ===
http://dbpedia.org/class/yago/Denomination108146782,http://dbpedia.org/resource/Altar_call,altar,52,14,0.9971332732071309,0.0028736691518943,3,16,== Biography == | === Metropolitan Tabernacle ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Altar_call,altar,52,14,0.9971332732071309,0.0028736691518943,3,16,== Biography == | === Metropolitan Tabernacle ===
http://dbpedia.org/class/yago/Mission108403225,http://dbpedia.org/resource/Altar_call,altar,52,14,0.9971332732071309,0.0028736691518943,3,16,== Biography == | === Metropolitan Tabernacle ===
http://dbpedia.org/class/yago/NongovernmentalOrganization108009834,http://dbpedia.org/resource/Altar_call,altar,52,14,0.9971332732071309,0.0028736691518943,3,16,== Biography == | === Metropolitan Tabernacle ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Altar_call,altar,52,14,0.9971332732071309,0.0028736691518943,3,16,== Biography == | === Metropolitan Tabernacle ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Altar_call,altar,52,14,0.9971332732071309,0.0028736691518943,3,16,== Biography == | === Metropolitan Tabernacle ===
http://dbpedia.org/class/yago/WikicatPentecostalDenominations,http://dbpedia.org/resource/Altar_call,altar,52,14,0.9971332732071309,0.0028736691518943,3,16,== Biography == | === Metropolitan Tabernacle ===
