types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Russian_Futurism,Russian Futurist,182,55,1.0,0.0,0,5,== Life == | === Futurism ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Russian_Futurism,Russian Futurist,182,55,1.0,0.0,0,5,== Life == | === Futurism ===
http://dbpedia.org/class/yago/WikicatLiteraryMovements,http://dbpedia.org/resource/Russian_Futurism,Russian Futurist,182,55,1.0,0.0,0,5,== Life == | === Futurism ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Russian_Futurism,Russian Futurist,182,55,1.0,0.0,0,5,== Life == | === Futurism ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Russian_Futurism,Russian Futurist,182,55,1.0,0.0,0,5,== Life == | === Futurism ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/Russian_Futurism,Russian Futurist,182,55,1.0,0.0,0,5,== Life == | === Futurism ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/Russian_Futurism,Russian Futurist,182,55,1.0,0.0,0,5,== Life == | === Futurism ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Russian_Futurism,Russian Futurist,182,55,1.0,0.0,0,5,== Life == | === Futurism ===
http://dbpedia.org/class/yago/Motion100331950,http://dbpedia.org/resource/Russian_Futurism,Russian Futurist,182,55,1.0,0.0,0,5,== Life == | === Futurism ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Russian_Futurism,Russian Futurist,182,55,1.0,0.0,0,5,== Life == | === Futurism ===
http://dbpedia.org/class/yago/WikicatFuturistMovements,http://dbpedia.org/resource/Russian_Futurism,Russian Futurist,182,55,1.0,0.0,0,5,== Life == | === Futurism ===
