types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Richie_Giachetti,Richie Giachetti,9,14,1.0,0.0,20,68,== Return to prizefighting == | === Later career ===
http://dbpedia.org/class/yago/WikicatAmericanPeopleOfItalianDescent,http://dbpedia.org/resource/Richie_Giachetti,Richie Giachetti,9,14,1.0,0.0,20,68,== Return to prizefighting == | === Later career ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Richie_Giachetti,Richie Giachetti,9,14,1.0,0.0,20,68,== Return to prizefighting == | === Later career ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Richie_Giachetti,Richie Giachetti,9,14,1.0,0.0,20,68,== Return to prizefighting == | === Later career ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Richie_Giachetti,Richie Giachetti,9,14,1.0,0.0,20,68,== Return to prizefighting == | === Later career ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Richie_Giachetti,Richie Giachetti,9,14,1.0,0.0,20,68,== Return to prizefighting == | === Later career ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Richie_Giachetti,Richie Giachetti,9,14,1.0,0.0,20,68,== Return to prizefighting == | === Later career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Richie_Giachetti,Richie Giachetti,9,14,1.0,0.0,20,68,== Return to prizefighting == | === Later career ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Richie_Giachetti,Richie Giachetti,9,14,1.0,0.0,20,68,== Return to prizefighting == | === Later career ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Richie_Giachetti,Richie Giachetti,9,14,1.0,0.0,20,68,== Return to prizefighting == | === Later career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Richie_Giachetti,Richie Giachetti,9,14,1.0,0.0,20,68,== Return to prizefighting == | === Later career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Richie_Giachetti,Richie Giachetti,9,14,1.0,0.0,20,68,== Return to prizefighting == | === Later career ===
