types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAncientGreekCities,http://dbpedia.org/resource/Doron,Doron,24,29,0.7451201075856562,0.3301009560106762,0,21,== Discography == | === Other releases ===
http://dbpedia.org/class/yago/WikicatAncientGreekSitesInTurkey,http://dbpedia.org/resource/Doron,Doron,24,29,0.7451201075856562,0.3301009560106762,0,21,== Discography == | === Other releases ===
http://dbpedia.org/ontology/City,http://dbpedia.org/resource/Doron,Doron,24,29,0.7451201075856562,0.3301009560106762,0,21,== Discography == | === Other releases ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Doron,Doron,24,29,0.7451201075856562,0.3301009560106762,0,21,== Discography == | === Other releases ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Doron,Doron,24,29,0.7451201075856562,0.3301009560106762,0,21,== Discography == | === Other releases ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Doron,Doron,24,29,0.7451201075856562,0.3301009560106762,0,21,== Discography == | === Other releases ===
http://dbpedia.org/class/yago/WikicatLostCitiesAndTowns,http://dbpedia.org/resource/Doron,Doron,24,29,0.7451201075856562,0.3301009560106762,0,21,== Discography == | === Other releases ===
http://dbpedia.org/class/yago/WikicatRomanTownsAndCitiesInTurkey,http://dbpedia.org/resource/Doron,Doron,24,29,0.7451201075856562,0.3301009560106762,0,21,== Discography == | === Other releases ===
http://dbpedia.org/class/yago/AdministrativeDistrict108491826,http://dbpedia.org/resource/Doron,Doron,24,29,0.7451201075856562,0.3301009560106762,0,21,== Discography == | === Other releases ===
http://dbpedia.org/class/yago/City108524735,http://dbpedia.org/resource/Doron,Doron,24,29,0.7451201075856562,0.3301009560106762,0,21,== Discography == | === Other releases ===
http://dbpedia.org/class/yago/District108552138,http://dbpedia.org/resource/Doron,Doron,24,29,0.7451201075856562,0.3301009560106762,0,21,== Discography == | === Other releases ===
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/Doron,Doron,24,29,0.7451201075856562,0.3301009560106762,0,21,== Discography == | === Other releases ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Doron,Doron,24,29,0.7451201075856562,0.3301009560106762,0,21,== Discography == | === Other releases ===
http://dbpedia.org/class/yago/Municipality108626283,http://dbpedia.org/resource/Doron,Doron,24,29,0.7451201075856562,0.3301009560106762,0,21,== Discography == | === Other releases ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Doron,Doron,24,29,0.7451201075856562,0.3301009560106762,0,21,== Discography == | === Other releases ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Doron,Doron,24,29,0.7451201075856562,0.3301009560106762,0,21,== Discography == | === Other releases ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Doron,Doron,24,29,0.7451201075856562,0.3301009560106762,0,21,== Discography == | === Other releases ===
http://dbpedia.org/class/yago/Site108651247,http://dbpedia.org/resource/Doron,Doron,24,29,0.7451201075856562,0.3301009560106762,0,21,== Discography == | === Other releases ===
http://dbpedia.org/class/yago/Town108665504,http://dbpedia.org/resource/Doron,Doron,24,29,0.7451201075856562,0.3301009560106762,0,21,== Discography == | === Other releases ===
http://dbpedia.org/class/yago/Tract108673395,http://dbpedia.org/resource/Doron,Doron,24,29,0.7451201075856562,0.3301009560106762,0,21,== Discography == | === Other releases ===
http://dbpedia.org/class/yago/UrbanArea108675967,http://dbpedia.org/resource/Doron,Doron,24,29,0.7451201075856562,0.3301009560106762,0,21,== Discography == | === Other releases ===
http://dbpedia.org/class/yago/WikicatFormerPopulatedPlacesInTurkey,http://dbpedia.org/resource/Doron,Doron,24,29,0.7451201075856562,0.3301009560106762,0,21,== Discography == | === Other releases ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Vivid_(arts_centre),VIVID,8,101,0.5340715042812274,0.6666666666666505,0,36,== Discography == | === Other releases ===
