types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Disease,http://dbpedia.org/resource/Mental_rotation,Mental rotation,62,1,1.0,0.0,1,11,== Research == | === Mental rotation ===
http://dbpedia.org/class/yago/WikicatCognitiveTests,http://dbpedia.org/resource/Mental_rotation,Mental rotation,62,1,1.0,0.0,1,11,== Research == | === Mental rotation ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Mental_rotation,Mental rotation,62,1,1.0,0.0,1,11,== Research == | === Mental rotation ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Mental_rotation,Mental rotation,62,1,1.0,0.0,1,11,== Research == | === Mental rotation ===
http://dbpedia.org/class/yago/Experiment105798043,http://dbpedia.org/resource/Mental_rotation,Mental rotation,62,1,1.0,0.0,1,11,== Research == | === Mental rotation ===
http://dbpedia.org/class/yago/HigherCognitiveProcess105770664,http://dbpedia.org/resource/Mental_rotation,Mental rotation,62,1,1.0,0.0,1,11,== Research == | === Mental rotation ===
http://dbpedia.org/class/yago/Inquiry105797597,http://dbpedia.org/resource/Mental_rotation,Mental rotation,62,1,1.0,0.0,1,11,== Research == | === Mental rotation ===
http://dbpedia.org/class/yago/ProblemSolving105796750,http://dbpedia.org/resource/Mental_rotation,Mental rotation,62,1,1.0,0.0,1,11,== Research == | === Mental rotation ===
http://dbpedia.org/class/yago/Process105701363,http://dbpedia.org/resource/Mental_rotation,Mental rotation,62,1,1.0,0.0,1,11,== Research == | === Mental rotation ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Mental_rotation,Mental rotation,62,1,1.0,0.0,1,11,== Research == | === Mental rotation ===
http://dbpedia.org/class/yago/Thinking105770926,http://dbpedia.org/resource/Mental_rotation,Mental rotation,62,1,1.0,0.0,1,11,== Research == | === Mental rotation ===
http://dbpedia.org/class/yago/Trial105799212,http://dbpedia.org/resource/Mental_rotation,Mental rotation,62,1,1.0,0.0,1,11,== Research == | === Mental rotation ===
