types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Stereoscopy,3D,2157,0,0.4166934457444701,0.6938358580331777,2,15,== Life and career == | === 2009–2011: Maya ===
http://dbpedia.org/ontology/TopicalConcept,http://dbpedia.org/resource/Stereoscopy,3D,2157,0,0.4166934457444701,0.6938358580331777,2,15,== Life and career == | === 2009–2011: Maya ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Stereoscopy,3D,2157,0,0.4166934457444701,0.6938358580331777,2,15,== Life and career == | === 2009–2011: Maya ===
