types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Magpie_Records,Magpie Records,9,33,0.999999999989285,0.0,0,25,== Discography == | === Anthologies ===
http://dbpedia.org/class/yago/WikicatIndependentRecordLabels,http://dbpedia.org/resource/Magpie_Records,Magpie Records,9,33,0.999999999989285,0.0,0,25,== Discography == | === Anthologies ===
http://dbpedia.org/class/yago/WikicatJazzRecordLabels,http://dbpedia.org/resource/Magpie_Records,Magpie Records,9,33,0.999999999989285,0.0,0,25,== Discography == | === Anthologies ===
http://dbpedia.org/ontology/RecordLabel,http://dbpedia.org/resource/Magpie_Records,Magpie Records,9,33,0.999999999989285,0.0,0,25,== Discography == | === Anthologies ===
http://dbpedia.org/class/yago/WikicatBluesRecordLabels,http://dbpedia.org/resource/Magpie_Records,Magpie Records,9,33,0.999999999989285,0.0,0,25,== Discography == | === Anthologies ===
http://dbpedia.org/class/yago/WikicatBritishRecordLabels,http://dbpedia.org/resource/Magpie_Records,Magpie Records,9,33,0.999999999989285,0.0,0,25,== Discography == | === Anthologies ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Magpie_Records,Magpie Records,9,33,0.999999999989285,0.0,0,25,== Discography == | === Anthologies ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Magpie_Records,Magpie Records,9,33,0.999999999989285,0.0,0,25,== Discography == | === Anthologies ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Magpie_Records,Magpie Records,9,33,0.999999999989285,0.0,0,25,== Discography == | === Anthologies ===
http://dbpedia.org/class/yago/WikicatRecordLabelsEstablishedIn1976,http://dbpedia.org/resource/Magpie_Records,Magpie Records,9,33,0.999999999989285,0.0,0,25,== Discography == | === Anthologies ===
http://dbpedia.org/class/yago/WikicatReissueRecordLabels,http://dbpedia.org/resource/Magpie_Records,Magpie Records,9,33,0.999999999989285,0.0,0,25,== Discography == | === Anthologies ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Magpie_Records,Magpie Records,9,33,0.999999999989285,0.0,0,25,== Discography == | === Anthologies ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/Magpie_Records,Magpie Records,9,33,0.999999999989285,0.0,0,25,== Discography == | === Anthologies ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Magpie_Records,Magpie Records,9,33,0.999999999989285,0.0,0,25,== Discography == | === Anthologies ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Magpie_Records,Magpie Records,9,33,0.999999999989285,0.0,0,25,== Discography == | === Anthologies ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Magpie_Records,Magpie Records,9,33,0.999999999989285,0.0,0,25,== Discography == | === Anthologies ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Magpie_Records,Magpie Records,9,33,0.999999999989285,0.0,0,25,== Discography == | === Anthologies ===
