types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Anti-German_sentiment,anti-German views,399,19,1.0,0.0,2,17,== Writings == | === Sociopolitical views ===
http://dbpedia.org/class/yago/WikicatPhobias,http://dbpedia.org/resource/Anti-German_sentiment,anti-German views,399,19,1.0,0.0,2,17,== Writings == | === Sociopolitical views ===
http://dbpedia.org/class/yago/WikicatPrejudices,http://dbpedia.org/resource/Anti-German_sentiment,anti-German views,399,19,1.0,0.0,2,17,== Writings == | === Sociopolitical views ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Anti-German_sentiment,anti-German views,399,19,1.0,0.0,2,17,== Writings == | === Sociopolitical views ===
http://dbpedia.org/class/yago/AnxietyDisorder114380473,http://dbpedia.org/resource/Anti-German_sentiment,anti-German views,399,19,1.0,0.0,2,17,== Writings == | === Sociopolitical views ===
http://dbpedia.org/class/yago/Attitude106193203,http://dbpedia.org/resource/Anti-German_sentiment,anti-German views,399,19,1.0,0.0,2,17,== Writings == | === Sociopolitical views ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Anti-German_sentiment,anti-German views,399,19,1.0,0.0,2,17,== Writings == | === Sociopolitical views ===
http://dbpedia.org/class/yago/Bias106201908,http://dbpedia.org/resource/Anti-German_sentiment,anti-German views,399,19,1.0,0.0,2,17,== Writings == | === Sociopolitical views ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Anti-German_sentiment,anti-German views,399,19,1.0,0.0,2,17,== Writings == | === Sociopolitical views ===
http://dbpedia.org/class/yago/Condition113920835,http://dbpedia.org/resource/Anti-German_sentiment,anti-German views,399,19,1.0,0.0,2,17,== Writings == | === Sociopolitical views ===
http://dbpedia.org/class/yago/Disorder114052403,http://dbpedia.org/resource/Anti-German_sentiment,anti-German views,399,19,1.0,0.0,2,17,== Writings == | === Sociopolitical views ===
http://dbpedia.org/class/yago/Inclination106196584,http://dbpedia.org/resource/Anti-German_sentiment,anti-German views,399,19,1.0,0.0,2,17,== Writings == | === Sociopolitical views ===
http://dbpedia.org/class/yago/MentalDisorder114083790,http://dbpedia.org/resource/Anti-German_sentiment,anti-German views,399,19,1.0,0.0,2,17,== Writings == | === Sociopolitical views ===
http://dbpedia.org/class/yago/Partiality106201136,http://dbpedia.org/resource/Anti-German_sentiment,anti-German views,399,19,1.0,0.0,2,17,== Writings == | === Sociopolitical views ===
http://dbpedia.org/class/yago/Phobia114381416,http://dbpedia.org/resource/Anti-German_sentiment,anti-German views,399,19,1.0,0.0,2,17,== Writings == | === Sociopolitical views ===
http://dbpedia.org/class/yago/PhysicalCondition114034177,http://dbpedia.org/resource/Anti-German_sentiment,anti-German views,399,19,1.0,0.0,2,17,== Writings == | === Sociopolitical views ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Anti-German_sentiment,anti-German views,399,19,1.0,0.0,2,17,== Writings == | === Sociopolitical views ===
http://dbpedia.org/class/yago/State100024720,http://dbpedia.org/resource/Anti-German_sentiment,anti-German views,399,19,1.0,0.0,2,17,== Writings == | === Sociopolitical views ===
