types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Loan_guarantee,co-signing,147,167,0.9999999999978968,0.0,5,11,== Music career == | === Solo work ===
http://dbpedia.org/class/yago/WikicatLoans,http://dbpedia.org/resource/Loan_guarantee,co-signing,147,167,0.9999999999978968,0.0,5,11,== Music career == | === Solo work ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Loan_guarantee,co-signing,147,167,0.9999999999978968,0.0,5,11,== Music career == | === Solo work ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Loan_guarantee,co-signing,147,167,0.9999999999978968,0.0,5,11,== Music career == | === Solo work ===
http://dbpedia.org/class/yago/Commerce101090446,http://dbpedia.org/resource/Loan_guarantee,co-signing,147,167,0.9999999999978968,0.0,5,11,== Music career == | === Solo work ===
http://dbpedia.org/class/yago/CommercialEnterprise101094725,http://dbpedia.org/resource/Loan_guarantee,co-signing,147,167,0.9999999999978968,0.0,5,11,== Music career == | === Solo work ===
http://dbpedia.org/class/yago/Debt113397174,http://dbpedia.org/resource/Loan_guarantee,co-signing,147,167,0.9999999999978968,0.0,5,11,== Music career == | === Solo work ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Loan_guarantee,co-signing,147,167,0.9999999999978968,0.0,5,11,== Music career == | === Solo work ===
http://dbpedia.org/class/yago/Finance101098698,http://dbpedia.org/resource/Loan_guarantee,co-signing,147,167,0.9999999999978968,0.0,5,11,== Music career == | === Solo work ===
http://dbpedia.org/class/yago/GroupAction101080366,http://dbpedia.org/resource/Loan_guarantee,co-signing,147,167,0.9999999999978968,0.0,5,11,== Music career == | === Solo work ===
http://dbpedia.org/class/yago/Liabilities113396054,http://dbpedia.org/resource/Loan_guarantee,co-signing,147,167,0.9999999999978968,0.0,5,11,== Music career == | === Solo work ===
http://dbpedia.org/class/yago/Loan113398953,http://dbpedia.org/resource/Loan_guarantee,co-signing,147,167,0.9999999999978968,0.0,5,11,== Music career == | === Solo work ===
http://dbpedia.org/class/yago/Possession100032613,http://dbpedia.org/resource/Loan_guarantee,co-signing,147,167,0.9999999999978968,0.0,5,11,== Music career == | === Solo work ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Loan_guarantee,co-signing,147,167,0.9999999999978968,0.0,5,11,== Music career == | === Solo work ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Loan_guarantee,co-signing,147,167,0.9999999999978968,0.0,5,11,== Music career == | === Solo work ===
http://dbpedia.org/class/yago/Transaction101106808,http://dbpedia.org/resource/Loan_guarantee,co-signing,147,167,0.9999999999978968,0.0,5,11,== Music career == | === Solo work ===
http://dbpedia.org/class/yago/WikicatGovernmentFinances,http://dbpedia.org/resource/Loan_guarantee,co-signing,147,167,0.9999999999978968,0.0,5,11,== Music career == | === Solo work ===
