types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatCountiesInTheKingdomOfHungary,http://dbpedia.org/resource/Gemer,Gemer,57,0,0.9999998379771984,1.620228092510458e-07,0,9,== Pieces == | === Orchestra ===
http://dbpedia.org/class/yago/WikicatTraditionalRegionsOfSlovakia,http://dbpedia.org/resource/Gemer,Gemer,57,0,0.9999998379771984,1.620228092510458e-07,0,9,== Pieces == | === Orchestra ===
http://dbpedia.org/class/yago/County108546183,http://dbpedia.org/resource/Gemer,Gemer,57,0,0.9999998379771984,1.620228092510458e-07,0,9,== Pieces == | === Orchestra ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Gemer,Gemer,57,0,0.9999998379771984,1.620228092510458e-07,0,9,== Pieces == | === Orchestra ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Gemer,Gemer,57,0,0.9999998379771984,1.620228092510458e-07,0,9,== Pieces == | === Orchestra ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Gemer,Gemer,57,0,0.9999998379771984,1.620228092510458e-07,0,9,== Pieces == | === Orchestra ===
http://dbpedia.org/class/yago/Region108630039,http://dbpedia.org/resource/Gemer,Gemer,57,0,0.9999998379771984,1.620228092510458e-07,0,9,== Pieces == | === Orchestra ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Gemer,Gemer,57,0,0.9999998379771984,1.620228092510458e-07,0,9,== Pieces == | === Orchestra ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Gemer,Gemer,57,0,0.9999998379771984,1.620228092510458e-07,0,9,== Pieces == | === Orchestra ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Gemer,Gemer,57,0,0.9999998379771984,1.620228092510458e-07,0,9,== Pieces == | === Orchestra ===
http://dbpedia.org/class/yago/WikicatRegionsOfSlovakia,http://dbpedia.org/resource/Gemer,Gemer,57,0,0.9999998379771984,1.620228092510458e-07,0,9,== Pieces == | === Orchestra ===
