types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Cricketer,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/WikicatWiltshireCricketers,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/Worker109632518,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://umbel.org/umbel/rc/Athlete,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/WikicatMaryleboneCricketClubCricketers,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/Athlete109820263,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/Captain109893191,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/CommissionedMilitaryOfficer109943239,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/CommissionedOfficer109942970,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/Contestant109613191,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/Cricketer109977326,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/MilitaryOfficer110317007,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/Serviceman110582746,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/SkilledWorker110605985,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/WikicatEnglandOneDayInternationalCricketers,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/WikicatEnglandTestCricketers,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/WikicatEnglandTwenty20InternationalCricketers,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/WikicatEnglishCricketers,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/WikicatGloucestershireCricketCaptains,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/WikicatGloucestershireCricketers,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/WikicatPeopleFromAylesbury,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/WikicatSurreyCricketers,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
http://dbpedia.org/class/yago/WikicatSussexCricketers,http://dbpedia.org/resource/Jon_Lewis,Jon Lewis,8,113,0.9995054077915482,0.0004923602975186387,4,20,== Career == | === 1950s ===
