types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAlbums,http://dbpedia.org/resource/Music_download,Digital 45,6854,9,0.9999999999263308,0.0,0,89,== Discography == | === CD Reissues ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Music_download,Digital 45,6854,9,0.9999999999263308,0.0,0,89,== Discography == | === CD Reissues ===
http://dbpedia.org/ontology/University,http://dbpedia.org/resource/Music_download,Digital 45,6854,9,0.9999999999263308,0.0,0,89,== Discography == | === CD Reissues ===
http://dbpedia.org/class/yago/WikicatMusicWebsites,http://dbpedia.org/resource/Music_download,Digital 45,6854,9,0.9999999999263308,0.0,0,89,== Discography == | === CD Reissues ===
http://dbpedia.org/class/yago/Album106591815,http://dbpedia.org/resource/Music_download,Digital 45,6854,9,0.9999999999263308,0.0,0,89,== Discography == | === CD Reissues ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Music_download,Digital 45,6854,9,0.9999999999263308,0.0,0,89,== Discography == | === CD Reissues ===
http://dbpedia.org/class/yago/Computer103082979,http://dbpedia.org/resource/Music_download,Digital 45,6854,9,0.9999999999263308,0.0,0,89,== Discography == | === CD Reissues ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Music_download,Digital 45,6854,9,0.9999999999263308,0.0,0,89,== Discography == | === CD Reissues ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Music_download,Digital 45,6854,9,0.9999999999263308,0.0,0,89,== Discography == | === CD Reissues ===
http://dbpedia.org/class/yago/Machine103699975,http://dbpedia.org/resource/Music_download,Digital 45,6854,9,0.9999999999263308,0.0,0,89,== Discography == | === CD Reissues ===
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/Music_download,Digital 45,6854,9,0.9999999999263308,0.0,0,89,== Discography == | === CD Reissues ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Music_download,Digital 45,6854,9,0.9999999999263308,0.0,0,89,== Discography == | === CD Reissues ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Music_download,Digital 45,6854,9,0.9999999999263308,0.0,0,89,== Discography == | === CD Reissues ===
http://dbpedia.org/class/yago/WebSite106359193,http://dbpedia.org/resource/Music_download,Digital 45,6854,9,0.9999999999263308,0.0,0,89,== Discography == | === CD Reissues ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Music_download,Digital 45,6854,9,0.9999999999263308,0.0,0,89,== Discography == | === CD Reissues ===
