types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Sakura_Wars,Sakura Taisen,396,0,0.9999999999471072,5.288951834669549e-11,0,53,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/LiteraryComposition106364329,http://dbpedia.org/resource/Sakura_Wars,Sakura Taisen,396,0,0.9999999999471072,5.288951834669549e-11,0,53,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Sakura_Wars,Sakura Taisen,396,0,0.9999999999471072,5.288951834669549e-11,0,53,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/MilitaryAction100952963,http://dbpedia.org/resource/Sakura_Wars,Sakura Taisen,396,0,0.9999999999471072,5.288951834669549e-11,0,53,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Novel106367879,http://dbpedia.org/resource/Sakura_Wars,Sakura Taisen,396,0,0.9999999999471072,5.288951834669549e-11,0,53,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Sakura_Wars,Sakura Taisen,396,0,0.9999999999471072,5.288951834669549e-11,0,53,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Ordering108456993,http://dbpedia.org/resource/Sakura_Wars,Sakura Taisen,396,0,0.9999999999471072,5.288951834669549e-11,0,53,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Sakura_Wars,Sakura Taisen,396,0,0.9999999999471072,5.288951834669549e-11,0,53,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Sakura_Wars,Sakura Taisen,396,0,0.9999999999471072,5.288951834669549e-11,0,53,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Sakura_Wars,Sakura Taisen,396,0,0.9999999999471072,5.288951834669549e-11,0,53,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Sakura_Wars,Sakura Taisen,396,0,0.9999999999471072,5.288951834669549e-11,0,53,== Filmography == | === Video games ===
