types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Fusion_power,fusion power,990,38,0.9935065803894984,0.006535859685214,0,12,== Biography == | === 1970s ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Fusion_power,fusion power,990,38,0.9935065803894984,0.006535859685214,0,12,== Biography == | === 1970s ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Fusion_power,fusion power,990,38,0.9935065803894984,0.006535859685214,0,12,== Biography == | === 1970s ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Fusion_power,fusion power,990,38,0.9935065803894984,0.006535859685214,0,12,== Biography == | === 1970s ===
http://dbpedia.org/class/yago/Application100949134,http://dbpedia.org/resource/Fusion_power,fusion power,990,38,0.9935065803894984,0.006535859685214,0,12,== Biography == | === 1970s ===
http://dbpedia.org/class/yago/Assets113329641,http://dbpedia.org/resource/Fusion_power,fusion power,990,38,0.9935065803894984,0.006535859685214,0,12,== Biography == | === 1970s ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Fusion_power,fusion power,990,38,0.9935065803894984,0.006535859685214,0,12,== Biography == | === 1970s ===
http://dbpedia.org/class/yago/Occupation100582388,http://dbpedia.org/resource/Fusion_power,fusion power,990,38,0.9935065803894984,0.006535859685214,0,12,== Biography == | === 1970s ===
http://dbpedia.org/class/yago/Possession100032613,http://dbpedia.org/resource/Fusion_power,fusion power,990,38,0.9935065803894984,0.006535859685214,0,12,== Biography == | === 1970s ===
http://dbpedia.org/class/yago/Profession100609953,http://dbpedia.org/resource/Fusion_power,fusion power,990,38,0.9935065803894984,0.006535859685214,0,12,== Biography == | === 1970s ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Fusion_power,fusion power,990,38,0.9935065803894984,0.006535859685214,0,12,== Biography == | === 1970s ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Fusion_power,fusion power,990,38,0.9935065803894984,0.006535859685214,0,12,== Biography == | === 1970s ===
http://dbpedia.org/class/yago/Resource113331778,http://dbpedia.org/resource/Fusion_power,fusion power,990,38,0.9935065803894984,0.006535859685214,0,12,== Biography == | === 1970s ===
http://dbpedia.org/class/yago/Technology100949619,http://dbpedia.org/resource/Fusion_power,fusion power,990,38,0.9935065803894984,0.006535859685214,0,12,== Biography == | === 1970s ===
http://dbpedia.org/class/yago/Use100947128,http://dbpedia.org/resource/Fusion_power,fusion power,990,38,0.9935065803894984,0.006535859685214,0,12,== Biography == | === 1970s ===
http://dbpedia.org/class/yago/WikicatEmergingTechnologies,http://dbpedia.org/resource/Fusion_power,fusion power,990,38,0.9935065803894984,0.006535859685214,0,12,== Biography == | === 1970s ===
http://dbpedia.org/class/yago/WikicatNon-renewableResources,http://dbpedia.org/resource/Fusion_power,fusion power,990,38,0.9935065803894984,0.006535859685214,0,12,== Biography == | === 1970s ===
