types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Royal_Liverpool_Philharmonic,Ensemble 10/10,552,79,1.0,0.0,0,14,== Biography == | === Commissions ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Royal_Liverpool_Philharmonic,Ensemble 10/10,552,79,1.0,0.0,0,14,== Biography == | === Commissions ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Royal_Liverpool_Philharmonic,Ensemble 10/10,552,79,1.0,0.0,0,14,== Biography == | === Commissions ===
http://dbpedia.org/class/yago/WikicatBritishOrchestras,http://dbpedia.org/resource/Royal_Liverpool_Philharmonic,Ensemble 10/10,552,79,1.0,0.0,0,14,== Biography == | === Commissions ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Royal_Liverpool_Philharmonic,Ensemble 10/10,552,79,1.0,0.0,0,14,== Biography == | === Commissions ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Royal_Liverpool_Philharmonic,Ensemble 10/10,552,79,1.0,0.0,0,14,== Biography == | === Commissions ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Royal_Liverpool_Philharmonic,Ensemble 10/10,552,79,1.0,0.0,0,14,== Biography == | === Commissions ===
http://dbpedia.org/class/yago/WikicatMusicalGroupsEstablishedInThe1840s,http://dbpedia.org/resource/Royal_Liverpool_Philharmonic,Ensemble 10/10,552,79,1.0,0.0,0,14,== Biography == | === Commissions ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Royal_Liverpool_Philharmonic,Ensemble 10/10,552,79,1.0,0.0,0,14,== Biography == | === Commissions ===
http://dbpedia.org/class/yago/Choir108188638,http://dbpedia.org/resource/Royal_Liverpool_Philharmonic,Ensemble 10/10,552,79,1.0,0.0,0,14,== Biography == | === Commissions ===
http://dbpedia.org/class/yago/Chorus108187837,http://dbpedia.org/resource/Royal_Liverpool_Philharmonic,Ensemble 10/10,552,79,1.0,0.0,0,14,== Biography == | === Commissions ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Royal_Liverpool_Philharmonic,Ensemble 10/10,552,79,1.0,0.0,0,14,== Biography == | === Commissions ===
http://dbpedia.org/class/yago/MusicalOrganization108246613,http://dbpedia.org/resource/Royal_Liverpool_Philharmonic,Ensemble 10/10,552,79,1.0,0.0,0,14,== Biography == | === Commissions ===
http://dbpedia.org/class/yago/Orchestra108248157,http://dbpedia.org/resource/Royal_Liverpool_Philharmonic,Ensemble 10/10,552,79,1.0,0.0,0,14,== Biography == | === Commissions ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Royal_Liverpool_Philharmonic,Ensemble 10/10,552,79,1.0,0.0,0,14,== Biography == | === Commissions ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Royal_Liverpool_Philharmonic,Ensemble 10/10,552,79,1.0,0.0,0,14,== Biography == | === Commissions ===
http://dbpedia.org/class/yago/SymphonyOrchestra108248856,http://dbpedia.org/resource/Royal_Liverpool_Philharmonic,Ensemble 10/10,552,79,1.0,0.0,0,14,== Biography == | === Commissions ===
http://dbpedia.org/class/yago/WikicatEnglishChoirs,http://dbpedia.org/resource/Royal_Liverpool_Philharmonic,Ensemble 10/10,552,79,1.0,0.0,0,14,== Biography == | === Commissions ===
http://dbpedia.org/class/yago/WikicatEnglishOrchestras,http://dbpedia.org/resource/Royal_Liverpool_Philharmonic,Ensemble 10/10,552,79,1.0,0.0,0,14,== Biography == | === Commissions ===
http://dbpedia.org/class/yago/WikicatOrganisationsBasedInLiverpool,http://dbpedia.org/resource/Royal_Liverpool_Philharmonic,Ensemble 10/10,552,79,1.0,0.0,0,14,== Biography == | === Commissions ===
http://dbpedia.org/class/yago/WikicatOrganizationsEstablishedIn1840,http://dbpedia.org/resource/Royal_Liverpool_Philharmonic,Ensemble 10/10,552,79,1.0,0.0,0,14,== Biography == | === Commissions ===
http://dbpedia.org/class/yago/WikicatSymphonyOrchestras,http://dbpedia.org/resource/Royal_Liverpool_Philharmonic,Ensemble 10/10,552,79,1.0,0.0,0,14,== Biography == | === Commissions ===
